instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0003,5.6585,1,1,2025-12-17,posner,2023.2.2,Win32,19.96007984,,,,,,,,,,,,,,,,,,,,
,,1,1,2025-12-17,posner,2023.2.2,Win32,19.96007984,5.6623,9.0156,0.401605443,0.012396694,1.0,0.0,0.0,2.3129,target,9.0158,10.011,0.0,0.0,0.0,13.0,1.0,0.35,0.0,0.0,right
,,1,1,2025-12-17,posner,2023.2.2,Win32,19.96007984,10.0115,11.7935,-0.293309404,-0.007925743,1.0,0.0,0.0,0.7442,target,11.7936,12.7873,0.0,1.0,1.0,0.0,1.0,-0.35,0.0,1.0,left
,,1,1,2025-12-17,posner,2023.2.2,Win32,19.96007984,12.7876,14.3731,0.351928375,-0.005667694,1.0,0.0,0.0,0.5534,target,14.3732,15.3707,0.0,2.0,2.0,5.0,1.0,0.35,180.0,1.0,right
,,1,1,2025-12-17,posner,2023.2.2,Win32,19.96007984,15.3709,17.0789,0.359831503,-0.015828913,1.0,0.0,0.0,0.6701,target,17.079,18.0869,0.0,3.0,3.0,3.0,1.0,0.35,180.0,1.0,right
,,1,1,2025-12-17,posner,2023.2.2,Win32,19.96007984,18.0872,20.3469,-0.387018472,-0.00453867,1.0,0.0,0.0,1.2101,target,20.347,21.3203,0.0,4.0,4.0,10.0,1.0,-0.35,180.0,0.0,left
,,1,1,2025-12-17,posner,2023.2.2,Win32,19.96007984,21.3205,23.0045,-0.344115517,-0.038409399,1.0,0.0,0.0,0.6774,target,23.0047,23.9782,0.0,5.0,5.0,4.0,1.0,-0.35,0.0,1.0,left
,,1,1,2025-12-17,posner,2023.2.2,Win32,19.96007984,23.9784,25.651,0.282493318,-0.00736121,1.0,0.0,0.0,0.6677,target,25.6512,26.63,0.0,6.0,6.0,7.0,1.0,0.35,180.0,1.0,right
,,1,1,2025-12-17,posner,2023.2.2,Win32,19.96007984,26.6302,28.2677,-0.344115517,-0.029941737,1.0,0.0,0.0,0.6171,target,28.2678,29.248,0.0,7.0,7.0,12.0,1.0,-0.35,180.0,0.0,left
,,1,1,2025-12-17,posner,2023.2.2,Win32,19.96007984,29.2483,31.0466,-0.341292957,-0.033893301,1.0,0.0,0.0,0.7796,target,31.0467,32.0263,0.0,8.0,8.0,2.0,1.0,-0.35,0.0,1.0,left
,,1,1,2025-12-17,posner,2023.2.2,Win32,19.96007984,32.0265,33.6855,0.385799103,-0.013006331,1.0,0.0,0.0,0.626,target,33.6856,34.6728,0.0,9.0,9.0,1.0,1.0,0.35,180.0,1.0,right
,,1,1,2025-12-17,posner,2023.2.2,Win32,19.96007984,34.6729,36.2817,-0.429356914,-0.021474034,1.0,0.0,0.0,0.5696,target,36.2819,37.2768,0.0,10.0,10.0,8.0,1.0,-0.35,180.0,0.0,left
,,1,1,2025-12-17,posner,2023.2.2,Win32,19.96007984,37.2769,38.9501,-0.359357366,-0.022038567,1.0,0.0,0.0,0.6283,target,38.9502,39.9485,0.0,11.0,11.0,6.0,1.0,-0.35,0.0,1.0,left
,,1,1,2025-12-17,posner,2023.2.2,Win32,19.96007984,39.9486,41.6084,0.318622095,-0.002845113,1.0,0.0,0.0,0.6271,target,41.6085,42.5999,0.0,12.0,12.0,9.0,1.0,0.35,0.0,0.0,right
,,1,1,2025-12-17,posner,2023.2.2,Win32,19.96007984,42.6001,44.258,0.388057152,0.01126767,1.0,0.0,0.0,0.6242,target,44.2581,45.2476,0.0,13.0,13.0,11.0,1.0,0.35,0.0,0.0,right
