instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns,trials.order
0.0003,9.4382,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,9.4481,11.0699,0.362907329,0.00726814,1.0,0.0,0.0,0.6167,target,11.0701,12.0701,0.0,0.0,0.0,11.0,1.0,0.35,0.0,0.0,right,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,12.0707,13.6246,-0.354887218,0.008270677,1.0,0.0,0.0,0.5465,target,13.6248,14.6157,0.0,1.0,1.0,2.0,1.0,-0.35,0.0,1.0,left,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,14.6169,16.7963,-0.262656626,0.001253102,1.0,0.0,0.0,1.1713,target,16.7964,17.7738,0.0,2.0,2.0,6.0,1.0,-0.35,0.0,1.0,left,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,17.7761,20.1334,0.34385968,-0.007769454,1.0,0.0,0.0,1.3489,target,20.1335,21.1379,0.0,3.0,3.0,9.0,1.0,0.35,0.0,0.0,right,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,21.1403,23.9057,-0.323809493,0.022305734,1.0,0.0,0.0,1.7528,target,23.9058,24.9172,0.0,4.0,4.0,0.0,1.0,-0.35,0.0,1.0,left,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,24.918,26.4343,0.331829605,0.037343328,1.0,0.0,0.0,0.5011,target,26.4344,27.4302,0.0,5.0,5.0,13.0,1.0,0.35,0.0,0.0,right,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,27.4319,29.1604,-0.401002491,0.035338346,1.0,0.0,0.0,0.7231,target,29.1607,30.1642,0.0,6.0,6.0,12.0,1.0,-0.35,180.0,0.0,left,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,30.1647,32.0954,-0.30576438,-0.015789474,1.0,0.0,0.0,0.9161,target,32.0955,33.0978,0.0,7.0,7.0,4.0,1.0,-0.35,0.0,1.0,left,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,33.0984,34.9223,-0.347869644,-0.012781955,1.0,0.0,0.0,0.809,target,34.9223,35.9067,0.0,8.0,8.0,10.0,1.0,-0.35,180.0,0.0,left,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,35.9076,37.5908,0.279699248,-0.018796992,1.0,0.0,0.0,0.6717,target,37.5909,38.591,0.0,9.0,9.0,5.0,1.0,0.35,180.0,1.0,right,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,38.5914,40.5971,0.329824623,0.013283177,1.0,0.0,0.0,0.9859,target,40.5972,41.5968,0.0,10.0,10.0,1.0,1.0,0.35,180.0,1.0,right,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,41.5978,43.2955,0.302756953,0.014285714,1.0,0.0,0.0,0.6842,target,43.2956,44.2889,0.0,11.0,11.0,3.0,1.0,0.35,180.0,1.0,right,
,,1,1,2025-12-14,posner,2023.2.2,Win32,59.88023952,44.2907,,,,,,,,,,,0.0,12.0,12.0,8.0,1.0,-0.35,180.0,0.0,left,13.0
