instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns,finish.started,valid_av,invalid_av
0.0,30.754,2,1,2025-12-16,posner,2023.2.2,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,
,,2,1,2025-12-16,posner,2023.2.2,Win32,59.95203837,30.758,32.372,-0.333116037,-0.037157757,1.0,0.0,0.0,0.599,target,32.373,33.374,0.0,0.0,0.0,6.0,1.0,-0.35,0.0,1.0,left,,,
,,2,1,2025-12-16,posner,2023.2.2,Win32,59.95203837,33.374,34.941,-0.313559322,-0.009778357,1.0,0.0,0.0,0.566,target,34.941,35.943,0.0,1.0,1.0,0.0,1.0,-0.35,0.0,1.0,left,,,
,,2,1,2025-12-16,posner,2023.2.2,Win32,59.95203837,35.944,37.561,0.307040417,0.028031291,1.0,0.0,0.0,0.617,target,37.561,38.562,0.0,2.0,2.0,7.0,1.0,0.35,180.0,1.0,right,,,
,,2,1,2025-12-16,posner,2023.2.2,Win32,59.95203837,38.563,40.198,0.303129074,0.024119948,1.0,0.0,0.0,0.633,target,40.198,41.198,0.0,3.0,3.0,9.0,1.0,0.35,0.0,0.0,right,,,
,,2,1,2025-12-16,posner,2023.2.2,Win32,59.95203837,41.199,42.8,-0.318774446,-0.021512386,1.0,0.0,0.0,0.601,target,42.8,43.8,0.0,4.0,4.0,12.0,1.0,-0.35,180.0,0.0,left,,,
,,2,1,2025-12-16,posner,2023.2.2,Win32,59.95203837,43.801,45.369,0.286179922,0.009778357,1.0,0.0,0.0,0.566,target,45.369,46.37,0.0,5.0,5.0,1.0,1.0,0.35,180.0,1.0,right,,,
,,2,1,2025-12-16,posner,2023.2.2,Win32,59.95203837,46.371,47.922,-0.373533246,-0.020208605,1.0,0.0,0.0,0.551,target,47.922,48.922,0.0,6.0,6.0,8.0,1.0,-0.35,180.0,0.0,left,,,
,,2,1,2025-12-16,posner,2023.2.2,Win32,59.95203837,48.923,50.525,-0.321382008,-0.009778357,1.0,0.0,0.0,0.602,target,50.526,51.525,0.0,7.0,7.0,10.0,1.0,-0.35,180.0,0.0,left,,,
,,2,1,2025-12-16,posner,2023.2.2,Win32,59.95203837,51.525,53.11,-0.331812256,-0.014993481,1.0,0.0,0.0,0.584,target,53.11,54.111,0.0,8.0,8.0,2.0,1.0,-0.35,0.0,1.0,left,,,
,,2,1,2025-12-16,posner,2023.2.2,Win32,59.95203837,54.112,55.846,0.280964798,0.014993481,1.0,0.0,0.0,0.717,target,55.846,56.848,0.0,9.0,9.0,5.0,1.0,0.35,180.0,1.0,right,,,
,,2,1,2025-12-16,posner,2023.2.2,Win32,59.95203837,56.849,58.499,0.344850065,0.007170795,1.0,0.0,0.0,0.634,target,58.499,59.5,0.0,10.0,10.0,11.0,1.0,0.35,0.0,0.0,right,,,
,,2,1,2025-12-16,posner,2023.2.2,Win32,59.95203837,59.5,61.268,0.368318123,0.011082138,1.0,0.0,0.0,0.767,target,61.268,62.269,0.0,11.0,11.0,3.0,1.0,0.35,180.0,1.0,right,,,
,,2,1,2025-12-16,posner,2023.2.2,Win32,59.95203837,62.271,63.854,-0.363102999,-0.024119948,1.0,0.0,0.0,0.566,target,63.854,64.855,0.0,12.0,12.0,4.0,1.0,-0.35,0.0,1.0,left,,,
,,2,1,2025-12-16,posner,2023.2.2,Win32,59.95203837,64.856,66.423,0.35136897,0.004563233,1.0,0.0,0.0,0.55,target,66.424,67.424,0.0,13.0,13.0,13.0,1.0,0.35,0.0,0.0,right,,,
,,2,1,2025-12-16,posner,2023.2.2,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,67.424,0.62275,0.595166667
