instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
9.99999e-05,1.1881,AL,1,2025-12-14,posner,2023.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,
,,AL,1,2025-12-14,posner,2023.2.2,MacIntel,59.88023952,1.1913,2.6875,0.377258431,0.021137246,1.0,0.0,0.0,0.484,target,2.6876,3.6866,0.0,0.0,0.0,7.0,1.0,0.35,180.0,1.0,right
,,AL,1,2025-12-14,posner,2023.2.2,MacIntel,59.88023952,3.6871,5.2206,0.389353587,0.037243208,1.0,0.0,0.0,0.5332,target,5.2206,6.2213,0.0,1.0,1.0,9.0,1.0,0.35,0.0,0.0,right
,,AL,1,2025-12-14,posner,2023.2.2,MacIntel,59.88023952,6.2216,7.8372,0.35174652,0.000526967,1.0,0.0,0.0,0.5998,target,7.8373,8.8374,0.0,2.0,2.0,5.0,1.0,0.35,180.0,1.0,right
,,AL,1,2025-12-14,posner,2023.2.2,MacIntel,59.88023952,8.838,10.3204,-0.291839534,-0.019853286,1.0,0.0,0.0,0.4667,target,10.3205,11.321,0.0,3.0,3.0,4.0,1.0,-0.35,0.0,1.0,left
,,AL,1,2025-12-14,posner,2023.2.2,MacIntel,59.88023952,11.3215,12.7878,-0.37138651,-0.00962761,1.0,0.0,0.0,0.4502,target,12.7879,13.7877,0.0,4.0,4.0,8.0,1.0,-0.35,180.0,0.0,left
,,AL,1,2025-12-14,posner,2023.2.2,MacIntel,59.88023952,13.7882,15.3044,0.328568322,0.002078593,1.0,0.0,0.0,0.4998,target,15.3044,16.3044,0.0,5.0,5.0,1.0,1.0,0.35,180.0,1.0,right
,,AL,1,2025-12-14,posner,2023.2.2,MacIntel,59.88023952,16.3049,17.9044,0.301738992,0.006904945,1.0,0.0,0.0,0.5832,target,17.9045,18.9035,0.0,6.0,6.0,11.0,1.0,0.35,0.0,0.0,right
,,AL,1,2025-12-14,posner,2023.2.2,MacIntel,59.88023952,18.9038,20.388,-0.351938905,-0.013270376,1.0,0.0,0.0,0.4831,target,20.388,21.388,0.0,7.0,7.0,0.0,1.0,-0.35,0.0,1.0,left
,,AL,1,2025-12-14,posner,2023.2.2,MacIntel,59.88023952,21.3886,22.8211,-0.277619781,-0.00728135,1.0,0.0,0.0,0.4164,target,22.8211,23.8211,0.0,8.0,8.0,10.0,1.0,-0.35,180.0,0.0,left
,,AL,1,2025-12-14,posner,2023.2.2,MacIntel,59.88023952,23.8215,25.2709,0.28011242,-0.007816682,1.0,0.0,0.0,0.4328,target,25.271,26.2705,0.0,9.0,9.0,13.0,1.0,0.35,0.0,0.0,right
,,AL,1,2025-12-14,posner,2023.2.2,MacIntel,59.88023952,26.2709,27.7213,-0.317510372,-0.024148488,1.0,0.0,0.0,0.4498,target,27.7214,28.7212,0.0,10.0,10.0,2.0,1.0,-0.35,0.0,1.0,left
,,AL,1,2025-12-14,posner,2023.2.2,MacIntel,59.88023952,28.7217,30.1376,-0.35451519,-0.022458846,1.0,0.0,0.0,0.4,target,30.1376,31.1375,0.0,11.0,11.0,6.0,1.0,-0.35,0.0,1.0,left
,,AL,1,2025-12-14,posner,2023.2.2,MacIntel,59.88023952,31.138,32.6047,-0.29493024,-0.01329547,1.0,0.0,0.0,0.4499,target,32.6048,33.6038,0.0,12.0,12.0,12.0,1.0,-0.35,180.0,0.0,left
,,AL,1,2025-12-14,posner,2023.2.2,MacIntel,59.88023952,33.6044,35.0211,0.346305373,-0.033755186,1.0,0.0,0.0,0.4162,target,35.0211,36.0215,0.0,13.0,13.0,3.0,1.0,0.35,180.0,1.0,right
