instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0,0.7383,A,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,
,,A,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,0.7409,2.2051,-0.321734475,0.002509368,1.0,0.0,0.0,0.4498,target,2.2052,3.2054,0.0,0.0,0.0,0.0,1.0,-0.35,0.0,1.0,left
,,A,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,3.2059,4.6717,-0.336861784,-0.005407689,1.0,0.0,0.0,0.45,target,4.6717,5.6721,0.0,1.0,1.0,2.0,1.0,-0.35,0.0,1.0,left
,,A,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,5.6726,7.1218,0.304700047,-0.004408124,1.0,0.0,0.0,0.4331,target,7.1219,8.1217,0.0,2.0,2.0,5.0,1.0,0.35,180.0,1.0,right
,,A,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,8.122,9.5884,0.345736583,0.006666555,1.0,0.0,0.0,0.4496,target,9.5884,10.5888,0.0,3.0,3.0,9.0,1.0,0.35,0.0,0.0,right
,,A,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,10.5892,12.0376,-0.26791689,-0.007733037,1.0,0.0,0.0,0.4331,target,12.0377,13.0384,0.0,4.0,4.0,4.0,1.0,-0.35,0.0,1.0,left
,,A,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,13.0388,14.4388,0.391478185,-0.006189775,1.0,0.0,0.0,0.384,target,14.4389,15.4391,0.0,5.0,5.0,3.0,1.0,0.35,180.0,1.0,right
,,A,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,15.4395,16.8719,-0.397103353,0.020179503,1.0,0.0,0.0,0.4165,target,16.8719,17.8724,0.0,6.0,6.0,8.0,1.0,-0.35,180.0,0.0,left
,,A,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,17.8729,19.3219,0.333829631,0.009686162,1.0,0.0,0.0,0.4329,target,19.3219,20.3221,0.0,7.0,7.0,7.0,1.0,0.35,180.0,1.0,right
,,A,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,20.3224,21.8059,-0.410131156,0.015378245,1.0,0.0,0.0,0.4668,target,21.806,22.8056,0.0,8.0,8.0,10.0,1.0,-0.35,180.0,0.0,left
,,A,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,22.806,24.3388,-0.379408124,0.01391863,1.0,0.0,0.0,0.5164,target,24.3389,25.339,0.0,9.0,9.0,12.0,1.0,-0.35,180.0,0.0,left
,,A,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,25.3395,26.7881,0.373686764,-0.001647819,1.0,0.0,0.0,0.4322,target,26.7882,27.789,0.0,10.0,10.0,1.0,1.0,0.35,180.0,1.0,right
,,A,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,27.7894,29.5222,0.353938035,0.003182715,1.0,0.0,0.0,0.716,target,29.5222,30.5224,0.0,11.0,11.0,11.0,1.0,0.35,0.0,0.0,right
,,A,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,30.5227,32.0227,-0.382009502,-0.025240063,1.0,0.0,0.0,0.4833,target,32.0227,33.0226,0.0,12.0,12.0,6.0,1.0,-0.35,0.0,1.0,left
,,A,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,33.0231,34.5226,0.299493108,-0.023671708,1.0,0.0,0.0,0.4832,target,34.5226,35.5229,0.0,13.0,13.0,13.0,1.0,0.35,0.0,0.0,right
