instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.000200001,5.3459,Adelina,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,
,,Adelina,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,5.358,7.112700001,0.383569388,-0.013031179,1.0,0.0,0.0,0.750199999,target,7.1129,8.1126,0.0,0.0,0.0,7.0,1.0,0.35,180.0,1.0,right
,,Adelina,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,8.113299999,9.978799999,-0.30084985,-0.007365456,1.0,0.0,0.0,0.8499,target,9.978799999,10.9786,0.0,1.0,1.0,0.0,1.0,-0.35,0.0,1.0,left
,,Adelina,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,10.9789,13.0288,-0.320113314,-0.002832861,1.0,0.0,0.0,1.033300001,target,13.0288,14.0286,0.0,2.0,2.0,6.0,1.0,-0.35,0.0,1.0,left
,,Adelina,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,14.0291,16.1455,0.425495785,-0.022096326,1.0,0.0,0.0,1.0995,target,16.1456,17.1455,0.0,3.0,3.0,13.0,1.0,0.35,0.0,0.0,right
,,Adelina,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,17.1457,18.9953,0.374504284,-0.017563731,1.0,0.0,0.0,0.8334,target,18.9953,19.9952,0.0,4.0,4.0,1.0,1.0,0.35,180.0,1.0,right
,,Adelina,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,19.9956,21.9449,0.366572221,-0.045892343,1.0,0.0,0.0,0.933,target,21.945,22.9451,0.0,5.0,5.0,9.0,1.0,0.35,0.0,0.0,right
,,Adelina,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,22.9455,24.8781,-0.401699725,0.016430604,1.0,0.0,0.0,0.9161,target,24.8781,25.8782,0.0,6.0,6.0,12.0,1.0,-0.35,180.0,0.0,left
,,Adelina,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,25.8785,28.0116,-0.343909331,-0.011898008,1.0,0.0,0.0,1.116799999,target,28.0117,29.0116,0.0,7.0,7.0,4.0,1.0,-0.35,0.0,1.0,left
,,Adelina,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,29.0118,30.9449,0.426628912,-0.022096326,1.0,0.0,0.0,0.9164,target,30.9449,31.9447,0.0,8.0,8.0,11.0,1.0,0.35,0.0,0.0,right
,,Adelina,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,31.9449,34.045,0.330311632,-0.010764881,1.0,0.0,0.0,1.083299999,target,34.045,35.0451,0.0,9.0,9.0,3.0,1.0,0.35,180.0,1.0,right
,,Adelina,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,35.0454,36.7449,-0.398300257,-0.000566564,1.0,0.0,0.0,0.683400002,target,36.745,37.745,0.0,10.0,10.0,2.0,1.0,-0.35,0.0,1.0,left
,,Adelina,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,37.7452,39.7948,-0.28611898,-0.005099159,1.0,0.0,0.0,1.033300001,target,39.7948,40.7949,0.0,11.0,11.0,8.0,1.0,-0.35,180.0,0.0,left
,,Adelina,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,40.7951,42.7448,0.350708267,0.001699691,1.0,0.0,0.0,0.933200001,target,42.7448,43.7447,0.0,12.0,12.0,5.0,1.0,0.35,180.0,1.0,right
,,Adelina,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,43.7449,45.5946,-0.422096317,-0.007365456,1.0,0.0,0.0,0.8329,target,45.5947,46.5948,0.0,13.0,13.0,10.0,1.0,-0.35,180.0,0.0,left
