instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0,8.552,Amelie Thurner ,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,
,,Amelie Thurner ,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,8.559,11.902,-0.334922527,0.013706794,1.0,0.0,0.0,2.333,target,11.902,12.902,0.0,0.0,0.0,4.0,1.0,-0.35,0.0,1.0,left
,,Amelie Thurner ,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,12.902,14.518,0.376638856,0.085220501,1.0,0.0,0.0,0.6,target,14.518,15.518,0.0,1.0,1.0,1.0,1.0,0.35,180.0,1.0,right
,,Amelie Thurner ,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,15.518,17.634,-0.413587604,0.000595948,1.0,0.0,0.0,1.1,target,17.634,18.635,0.0,2.0,2.0,8.0,1.0,-0.35,180.0,0.0,left
,,Amelie Thurner ,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,18.635,20.186,0.351609058,0.013706794,1.0,0.0,0.0,0.534,target,20.186,21.184,0.0,3.0,3.0,5.0,1.0,0.35,180.0,1.0,right
,,Amelie Thurner ,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,21.185,22.734,0.337306317,0.02443385,1.0,0.0,0.0,0.533,target,22.735,23.734,0.0,4.0,4.0,3.0,1.0,0.35,180.0,1.0,right
,,Amelie Thurner ,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,23.735,25.251,-0.293206198,-0.004171633,1.0,0.0,0.0,0.5,target,25.251,26.251,0.0,5.0,5.0,2.0,1.0,-0.35,0.0,1.0,left
,,Amelie Thurner ,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,26.251,27.818,0.31227652,0.011323004,1.0,0.0,0.0,0.566,target,27.818,28.817,0.0,6.0,6.0,11.0,1.0,0.35,0.0,0.0,right
,,Amelie Thurner ,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,28.818,30.367,-0.325387366,-0.02681764,1.0,0.0,0.0,0.533,target,30.367,31.368,0.0,7.0,7.0,6.0,1.0,-0.35,0.0,1.0,left
,,Amelie Thurner ,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,31.368,32.95,-0.324195471,-0.013706794,1.0,0.0,0.0,0.566,target,32.95,33.951,0.0,8.0,8.0,12.0,1.0,-0.35,180.0,0.0,left
,,Amelie Thurner ,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,33.952,35.468,0.309892729,-0.019666269,1.0,0.0,0.0,0.5,target,35.468,36.467,0.0,9.0,9.0,7.0,1.0,0.35,180.0,1.0,right
,,Amelie Thurner ,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,36.468,37.968,-0.301549464,-0.004171633,1.0,0.0,0.0,0.484,target,37.968,38.968,0.0,10.0,10.0,10.0,1.0,-0.35,180.0,0.0,left
,,Amelie Thurner ,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,38.968,40.501,0.309892729,0.013706794,1.0,0.0,0.0,0.517,target,40.501,41.501,0.0,11.0,11.0,13.0,1.0,0.35,0.0,0.0,right
,,Amelie Thurner ,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,41.501,43.017,0.300357569,0.010131108,1.0,0.0,0.0,0.516,target,43.018,44.018,0.0,12.0,12.0,9.0,1.0,0.35,0.0,0.0,right
,,Amelie Thurner ,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,44.018,45.434,-0.332538737,0.014898689,1.0,0.0,0.0,0.4,target,45.434,46.434,0.0,13.0,13.0,0.0,1.0,-0.35,0.0,1.0,left
