instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0002,6.65,Amelie,1,2025-12-14,posner,2023.2.2,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,
,,Amelie,1,2025-12-14,posner,2023.2.2,Win32,61.72839506,6.6542,8.4974,-0.303523035,-0.017615176,1.0,0.0,0.0,0.8309,target,8.4977,9.4999,0.0,0.0,0.0,12.0,1.0,-0.35,180.0,0.0,left
,,Amelie,1,2025-12-14,posner,2023.2.2,Win32,61.72839506,9.5005,11.2656,-0.291598933,-0.014363152,1.0,0.0,0.0,0.7488,target,11.2657,12.2666,0.0,1.0,1.0,0.0,1.0,-0.35,0.0,1.0,left
,,Amelie,1,2025-12-14,posner,2023.2.2,Win32,61.72839506,12.267,13.9338,-0.290514856,-0.031707309,1.0,0.0,0.0,0.6527,target,13.9338,14.9331,0.0,2.0,2.0,2.0,1.0,-0.35,0.0,1.0,left
,,Amelie,1,2025-12-14,posner,2023.2.2,Win32,61.72839506,14.9337,16.6807,0.346883469,-0.069647688,1.0,0.0,0.0,0.7329,target,16.6807,17.6829,0.0,3.0,3.0,13.0,1.0,0.35,0.0,0.0,right
,,Amelie,1,2025-12-14,posner,2023.2.2,Win32,61.72839506,17.6833,19.1841,0.34037942,-0.003523044,1.0,0.0,0.0,0.486,target,19.1842,20.1804,0.0,4.0,4.0,5.0,1.0,0.35,180.0,1.0,right
,,Amelie,1,2025-12-14,posner,2023.2.2,Win32,61.72839506,20.1809,21.7139,0.34037942,-0.003523044,1.0,0.0,0.0,0.513,target,21.714,22.7144,0.0,5.0,5.0,11.0,1.0,0.35,0.0,0.0,right
,,Amelie,1,2025-12-14,posner,2023.2.2,Win32,61.72839506,22.7149,24.8508,-0.419512203,0.019241168,1.0,0.0,0.0,1.1163,target,24.8508,25.8483,0.0,6.0,6.0,4.0,1.0,-0.35,0.0,1.0,left
,,Amelie,1,2025-12-14,posner,2023.2.2,Win32,61.72839506,25.8489,27.5643,-0.260162602,0.027913287,1.0,0.0,0.0,0.7143,target,27.5644,28.5645,0.0,7.0,7.0,8.0,1.0,-0.35,180.0,0.0,left
,,Amelie,1,2025-12-14,posner,2023.2.2,Win32,61.72839506,28.5649,30.2312,-0.303523035,0.009485095,1.0,0.0,0.0,0.6648,target,30.2313,31.231,0.0,8.0,8.0,10.0,1.0,-0.35,180.0,0.0,left
,,Amelie,1,2025-12-14,posner,2023.2.2,Win32,61.72839506,31.2315,33.1308,0.315447138,-0.002439049,1.0,0.0,0.0,0.899,target,33.1308,34.1313,0.0,9.0,9.0,1.0,1.0,0.35,180.0,1.0,right
,,Amelie,1,2025-12-14,posner,2023.2.2,Win32,61.72839506,34.1323,35.6179,0.315447138,-0.002439049,1.0,0.0,0.0,0.4676,target,35.6179,36.6142,0.0,10.0,10.0,3.0,1.0,0.35,180.0,1.0,right
,,Amelie,1,2025-12-14,posner,2023.2.2,Win32,61.72839506,36.6145,38.184,0.315447138,-0.002439049,1.0,0.0,0.0,0.5488,target,38.184,39.1838,0.0,11.0,11.0,9.0,1.0,0.35,0.0,0.0,right
,,Amelie,1,2025-12-14,posner,2023.2.2,Win32,61.72839506,39.1842,40.9648,-0.345799433,-0.000271019,1.0,0.0,0.0,0.766,target,40.9648,41.9673,0.0,12.0,12.0,6.0,1.0,-0.35,0.0,1.0,left
,,Amelie,1,2025-12-14,posner,2023.2.2,Win32,61.72839506,41.9676,43.7812,0.326287246,0.006233071,1.0,0.0,0.0,0.7995,target,43.7812,44.7821,0.0,13.0,13.0,7.0,1.0,0.35,180.0,1.0,right
