instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns,finish.started,valid_av,invalid_av
0.001,111.873,Amelie,1,2025-12-20,posner,2023.2.2,MacIntel,142.8571429,,,,,,,,,,,,,,,,,,,,,,,
,,Amelie,1,2025-12-20,posner,2023.2.2,MacIntel,142.8571429,111.881,114.04,-0.35,-0.004878049,1.0,0.0,0.0,1.146,target,114.041,115.038,0.0,0.0,0.0,4.0,1.0,-0.35,0.0,1.0,left,,,
,,Amelie,1,2025-12-20,posner,2023.2.2,MacIntel,142.8571429,115.039,116.794,-0.437804878,-0.019512195,1.0,0.0,0.0,0.735,target,116.794,117.784,0.0,1.0,1.0,12.0,1.0,-0.35,180.0,0.0,left,,,
,,Amelie,1,2025-12-20,posner,2023.2.2,MacIntel,142.8571429,117.785,119.816,0.317073171,0.004878049,1.0,0.0,0.0,1.029,target,119.816,120.813,0.0,2.0,2.0,1.0,1.0,0.35,180.0,1.0,right,,,
,,Amelie,1,2025-12-20,posner,2023.2.2,MacIntel,142.8571429,120.813,122.314,-0.267073171,-0.004878049,1.0,0.0,0.0,0.5,target,122.314,123.389,0.0,3.0,3.0,0.0,1.0,-0.35,0.0,1.0,left,,,
,,Amelie,1,2025-12-20,posner,2023.2.2,MacIntel,142.8571429,123.389,125.146,-0.27804878,0.020731707,1.0,0.0,0.0,0.742,target,125.146,126.145,0.0,4.0,4.0,8.0,1.0,-0.35,180.0,0.0,left,,,
,,Amelie,1,2025-12-20,posner,2023.2.2,MacIntel,142.8571429,126.146,127.811,-0.31097561,0.017073171,1.0,0.0,0.0,0.65,target,127.812,128.81,0.0,5.0,5.0,10.0,1.0,-0.35,180.0,0.0,left,,,
,,Amelie,1,2025-12-20,posner,2023.2.2,MacIntel,142.8571429,128.811,130.431,0.445121951,-0.004878049,1.0,0.0,0.0,0.603,target,130.431,131.442,0.0,6.0,6.0,11.0,1.0,0.35,0.0,0.0,right,,,
,,Amelie,1,2025-12-20,posner,2023.2.2,MacIntel,142.8571429,131.443,133.041,0.392682927,0.043902439,1.0,0.0,0.0,0.583,target,133.041,134.04,0.0,7.0,7.0,7.0,1.0,0.35,180.0,1.0,right,,,
,,Amelie,1,2025-12-20,posner,2023.2.2,MacIntel,142.8571429,134.04,137.005,-0.387804878,-0.004878049,1.0,0.0,0.0,1.95,target,137.005,138.004,0.0,8.0,8.0,6.0,1.0,-0.35,0.0,1.0,left,,,
,,Amelie,1,2025-12-20,posner,2023.2.2,MacIntel,142.8571429,138.004,140.069,0.303658537,0.032926829,1.0,0.0,0.0,1.046,target,140.069,141.069,0.0,9.0,9.0,13.0,1.0,0.35,0.0,0.0,right,,,
,,Amelie,1,2025-12-20,posner,2023.2.2,MacIntel,142.8571429,141.069,142.784,0.274390244,-0.008536585,1.0,0.0,0.0,0.698,target,142.784,143.783,0.0,10.0,10.0,9.0,1.0,0.35,0.0,0.0,right,,,
,,Amelie,1,2025-12-20,posner,2023.2.2,MacIntel,142.8571429,143.784,145.382,0.284146341,-0.007317073,1.0,0.0,0.0,0.583,target,145.382,146.381,0.0,11.0,11.0,5.0,1.0,0.35,180.0,1.0,right,,,
,,Amelie,1,2025-12-20,posner,2023.2.2,MacIntel,142.8571429,146.382,147.981,0.387804878,-0.025609756,1.0,0.0,0.0,0.583,target,147.981,148.98,0.0,12.0,12.0,3.0,1.0,0.35,180.0,1.0,right,,,
,,Amelie,1,2025-12-20,posner,2023.2.2,MacIntel,142.8571429,148.981,151.459,-0.425609756,0.001219512,1.0,0.0,0.0,1.458,target,151.459,152.462,0.0,13.0,13.0,2.0,1.0,-0.35,0.0,1.0,left,,,
,,Amelie,1,2025-12-20,posner,2023.2.2,MacIntel,142.8571429,,,,,,,,,,,,,,,,,,,,,152.467,0.979,0.745666667
