instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0001,0.7461,Anima,3,2025-12-19,posner,2023.2.2,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,
,,Anima,3,2025-12-19,posner,2023.2.2,Win32,144.9275362,0.7483,2.0519,0.393374741,0.020703934,1.0,0.0,0.0,0.2987,target,2.052,3.0517,0.0,0.0,0.0,5.0,1.0,0.35,180.0,1.0,right
,,Anima,3,2025-12-19,posner,2023.2.2,Win32,144.9275362,3.052,4.3502,0.400621118,0.01552795,1.0,0.0,0.0,0.2918,target,4.3503,5.3501,0.0,1.0,1.0,7.0,1.0,0.35,180.0,1.0,right
,,Anima,3,2025-12-19,posner,2023.2.2,Win32,144.9275362,5.3503,6.6488,0.35300207,-0.013457557,1.0,0.0,0.0,0.2908,target,6.6489,7.6486,0.0,2.0,2.0,1.0,1.0,0.35,180.0,1.0,right
,,Anima,3,2025-12-19,posner,2023.2.2,Win32,144.9275362,7.6489,9.4751,-0.310559006,0.011387164,1.0,0.0,0.0,0.8195,target,9.4751,10.475,0.0,3.0,3.0,8.0,1.0,-0.35,180.0,0.0,left
,,Anima,3,2025-12-19,posner,2023.2.2,Win32,144.9275362,10.4752,11.7945,0.284679089,0.01552795,1.0,0.0,0.0,0.3125,target,11.7945,12.7944,0.0,4.0,4.0,9.0,1.0,0.35,0.0,0.0,right
,,Anima,3,2025-12-19,posner,2023.2.2,Win32,144.9275362,12.7946,14.4125,-0.366459627,0.00621118,1.0,0.0,0.0,0.6177,target,14.4126,15.4124,0.0,5.0,5.0,6.0,1.0,-0.35,0.0,1.0,left
,,Anima,3,2025-12-19,posner,2023.2.2,Win32,144.9275362,15.4126,16.9542,-0.355072464,0.031055901,1.0,0.0,0.0,0.5347,target,16.9542,17.954,0.0,6.0,6.0,10.0,1.0,-0.35,180.0,0.0,left
,,Anima,3,2025-12-19,posner,2023.2.2,Win32,144.9275362,17.9542,19.225,-0.31884058,0.002070393,1.0,0.0,0.0,0.2639,target,19.225,20.2249,0.0,7.0,7.0,4.0,1.0,-0.35,0.0,1.0,left
,,Anima,3,2025-12-19,posner,2023.2.2,Win32,144.9275362,20.2251,21.5305,-0.267080745,-0.00621118,1.0,0.0,0.0,0.2987,target,21.5305,22.5303,0.0,8.0,8.0,2.0,1.0,-0.35,0.0,1.0,left
,,Anima,3,2025-12-19,posner,2023.2.2,Win32,144.9275362,22.5305,23.8637,0.303312629,-0.013457557,1.0,0.0,0.0,0.3264,target,23.8638,24.8637,0.0,9.0,9.0,13.0,1.0,0.35,0.0,0.0,right
,,Anima,3,2025-12-19,posner,2023.2.2,Win32,144.9275362,24.8639,26.1623,0.410973085,0.02484472,1.0,0.0,0.0,0.2918,target,26.1623,27.1622,0.0,10.0,10.0,3.0,1.0,0.35,180.0,1.0,right
,,Anima,3,2025-12-19,posner,2023.2.2,Win32,144.9275362,27.1624,28.4817,-0.287784679,0.00310559,1.0,0.0,0.0,0.3125,target,28.4817,29.4816,0.0,11.0,11.0,0.0,1.0,-0.35,0.0,1.0,left
,,Anima,3,2025-12-19,posner,2023.2.2,Win32,144.9275362,29.4818,30.7872,0.415113872,0.01242236,1.0,0.0,0.0,0.2986,target,30.7872,31.7872,0.0,12.0,12.0,11.0,1.0,0.35,0.0,0.0,right
,,Anima,3,2025-12-19,posner,2023.2.2,Win32,144.9275362,31.7874,33.5788,-0.326086957,0.011387164,1.0,0.0,0.0,0.7846,target,33.5788,34.5792,0.0,13.0,13.0,12.0,1.0,-0.35,180.0,0.0,left
