instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0,38.07,Ann-Sophie Bauer,1,2025-12-18,posner,2023.2.2,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,
,,Ann-Sophie Bauer,1,2025-12-18,posner,2023.2.2,Win32,59.95203837,38.078,39.674,0.342767296,-0.025786164,1.0,0.0,0.0,0.583,target,39.674,40.669,0.0,0.0,0.0,5.0,1.0,0.35,180.0,1.0,right
,,Ann-Sophie Bauer,1,2025-12-18,posner,2023.2.2,Win32,59.95203837,40.67,42.786,0.37672956,0.001886792,1.0,0.0,0.0,1.114,target,42.787,43.787,0.0,1.0,1.0,3.0,1.0,0.35,180.0,1.0,right
,,Ann-Sophie Bauer,1,2025-12-18,posner,2023.2.2,Win32,59.95203837,43.788,45.391,-0.408176101,0.006918239,1.0,0.0,0.0,0.598,target,45.391,46.393,0.0,2.0,2.0,2.0,1.0,-0.35,0.0,1.0,left
,,Ann-Sophie Bauer,1,2025-12-18,posner,2023.2.2,Win32,59.95203837,46.394,47.88,0.350314465,0.028301887,1.0,0.0,0.0,0.47,target,47.88,48.879,0.0,3.0,3.0,13.0,1.0,0.35,0.0,0.0,right
,,Ann-Sophie Bauer,1,2025-12-18,posner,2023.2.2,Win32,59.95203837,48.88,51.08,-0.341509434,-0.034591195,1.0,0.0,0.0,1.185,target,51.081,52.076,0.0,4.0,4.0,8.0,1.0,-0.35,180.0,0.0,left
,,Ann-Sophie Bauer,1,2025-12-18,posner,2023.2.2,Win32,59.95203837,52.078,53.543,0.35408805,0.008176101,1.0,0.0,0.0,0.461,target,53.543,54.545,0.0,5.0,5.0,11.0,1.0,0.35,0.0,0.0,right
,,Ann-Sophie Bauer,1,2025-12-18,posner,2023.2.2,Win32,59.95203837,54.545,56.051,-0.372955975,0.009433962,1.0,0.0,0.0,0.502,target,56.052,57.046,0.0,6.0,6.0,6.0,1.0,-0.35,0.0,1.0,left
,,Ann-Sophie Bauer,1,2025-12-18,posner,2023.2.2,Win32,59.95203837,57.048,58.601,-0.336477987,0.016981132,1.0,0.0,0.0,0.538,target,58.601,59.603,0.0,7.0,7.0,12.0,1.0,-0.35,180.0,0.0,left
,,Ann-Sophie Bauer,1,2025-12-18,posner,2023.2.2,Win32,59.95203837,59.605,61.171,-0.364150943,0.004402516,1.0,0.0,0.0,0.553,target,61.172,62.171,0.0,8.0,8.0,10.0,1.0,-0.35,180.0,0.0,left
,,Ann-Sophie Bauer,1,2025-12-18,posner,2023.2.2,Win32,59.95203837,62.172,63.604,0.344025157,0.004402516,1.0,0.0,0.0,0.431,target,63.606,64.605,0.0,9.0,9.0,7.0,1.0,0.35,180.0,1.0,right
,,Ann-Sophie Bauer,1,2025-12-18,posner,2023.2.2,Win32,59.95203837,64.609,66.057,0.350314465,0.009433962,1.0,0.0,0.0,0.435,target,66.057,67.053,0.0,10.0,10.0,1.0,1.0,0.35,180.0,1.0,right
,,Ann-Sophie Bauer,1,2025-12-18,posner,2023.2.2,Win32,59.95203837,67.054,68.548,-0.351572327,0.006918239,1.0,0.0,0.0,0.476,target,68.548,69.543,0.0,11.0,11.0,4.0,1.0,-0.35,0.0,1.0,left
,,Ann-Sophie Bauer,1,2025-12-18,posner,2023.2.2,Win32,59.95203837,69.544,71.059,-0.41572327,-0.008176101,1.0,0.0,0.0,0.505,target,71.06,72.056,0.0,12.0,12.0,0.0,1.0,-0.35,0.0,1.0,left
,,Ann-Sophie Bauer,1,2025-12-18,posner,2023.2.2,Win32,59.95203837,72.058,73.518,0.342767296,0.000628931,1.0,0.0,0.0,0.455,target,73.518,74.508,0.0,13.0,13.0,9.0,1.0,0.35,0.0,0.0,right
