instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0,4.515,Anna ,1,2025-12-20,posner,2023.2.2,MacIntel,66.66666667,,,,,,,,,,,,,,,,,,,,
,,Anna ,1,2025-12-20,posner,2023.2.2,MacIntel,66.66666667,4.522,6.313,-0.304878049,0.015853659,1.0,0.0,0.0,0.782,target,6.314,7.312,0.0,0.0,0.0,12.0,1.0,-0.35,180.0,0.0,left
,,Anna ,1,2025-12-20,posner,2023.2.2,MacIntel,66.66666667,7.313,8.945,0.356097561,0.025609756,1.0,0.0,0.0,0.616,target,8.945,9.944,0.0,1.0,1.0,11.0,1.0,0.35,0.0,0.0,right
,,Anna ,1,2025-12-20,posner,2023.2.2,MacIntel,66.66666667,9.944,11.926,-0.437804878,-0.034146341,1.0,0.0,0.0,0.965,target,11.926,12.925,0.0,2.0,2.0,6.0,1.0,-0.35,0.0,1.0,left
,,Anna ,1,2025-12-20,posner,2023.2.2,MacIntel,66.66666667,12.925,14.841,0.393902439,-0.002439024,1.0,0.0,0.0,0.916,target,14.841,15.84,0.0,3.0,3.0,13.0,1.0,0.35,0.0,0.0,right
,,Anna ,1,2025-12-20,posner,2023.2.2,MacIntel,66.66666667,15.84,17.44,0.359756098,-0.004878049,1.0,0.0,0.0,0.599,target,17.44,18.439,0.0,4.0,4.0,5.0,1.0,0.35,180.0,1.0,right
,,Anna ,1,2025-12-20,posner,2023.2.2,MacIntel,66.66666667,18.439,20.454,-0.382926829,-0.020731707,1.0,0.0,0.0,0.999,target,20.454,21.454,0.0,5.0,5.0,0.0,1.0,-0.35,0.0,1.0,left
,,Anna ,1,2025-12-20,posner,2023.2.2,MacIntel,66.66666667,21.454,23.386,0.291463415,-0.020731707,1.0,0.0,0.0,0.917,target,23.386,24.385,0.0,6.0,6.0,1.0,1.0,0.35,180.0,1.0,right
,,Anna ,1,2025-12-20,posner,2023.2.2,MacIntel,66.66666667,24.386,26.266,-0.392682927,0.014634146,1.0,0.0,0.0,0.865,target,26.266,27.267,0.0,7.0,7.0,8.0,1.0,-0.35,180.0,0.0,left
,,Anna ,1,2025-12-20,posner,2023.2.2,MacIntel,66.66666667,27.267,28.898,0.292682927,0.01097561,1.0,0.0,0.0,0.615,target,28.898,29.898,0.0,8.0,8.0,9.0,1.0,0.35,0.0,0.0,right
,,Anna ,1,2025-12-20,posner,2023.2.2,MacIntel,66.66666667,29.898,31.496,-0.340243902,-0.025609756,1.0,0.0,0.0,0.582,target,31.496,32.497,0.0,9.0,9.0,4.0,1.0,-0.35,0.0,1.0,left
,,Anna ,1,2025-12-20,posner,2023.2.2,MacIntel,66.66666667,32.497,34.061,-0.286585366,0.019512195,1.0,0.0,0.0,0.549,target,34.061,35.061,0.0,10.0,10.0,2.0,1.0,-0.35,0.0,1.0,left
,,Anna ,1,2025-12-20,posner,2023.2.2,MacIntel,66.66666667,35.061,36.859,-0.28902439,-0.007317073,1.0,0.0,0.0,0.782,target,36.859,37.86,0.0,11.0,11.0,10.0,1.0,-0.35,180.0,0.0,left
,,Anna ,1,2025-12-20,posner,2023.2.2,MacIntel,66.66666667,37.86,39.425,0.337804878,0.019512195,1.0,0.0,0.0,0.55,target,39.425,40.424,0.0,12.0,12.0,7.0,1.0,0.35,180.0,1.0,right
,,Anna ,1,2025-12-20,posner,2023.2.2,MacIntel,66.66666667,40.424,42.006,0.357317073,0.035365854,1.0,0.0,0.0,0.582,target,42.006,43.005,0.0,13.0,13.0,3.0,1.0,0.35,180.0,1.0,right
