instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0004,4.313800001,Anna,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,
,,Anna,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,4.321700001,6.3479,-0.383313644,0.016725651,1.0,0.0,0.0,1.016099998,target,6.348200001,7.348300001,0.0,0.0,0.0,12.0,1.0,-0.35,180.0,0.0,left
,,Anna,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,7.349,9.297800001,0.380952477,-0.011609651,1.0,0.0,0.0,0.9339,target,9.2979,10.2972,0.0,1.0,1.0,11.0,1.0,0.35,0.0,0.0,right
,,Anna,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,10.2979,12.1808,-0.400629649,-0.037583677,1.0,0.0,0.0,0.882200001,target,12.181,13.1811,0.0,2.0,2.0,10.0,1.0,-0.35,180.0,0.0,left
,,Anna,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,13.1817,15.0478,-0.393545824,-0.004525825,1.0,0.0,0.0,0.8501,target,15.0479,16.0477,0.0,3.0,3.0,0.0,1.0,-0.35,0.0,1.0,left
,,Anna,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,16.0483,17.9479,0.417158647,-0.002951594,1.0,0.0,0.0,0.8825,target,17.948,18.9482,0.0,4.0,4.0,1.0,1.0,0.35,180.0,1.0,right
,,Anna,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,18.9488,20.8817,0.354978451,-0.023416026,1.0,0.0,0.0,0.916699999,target,20.8819,21.8814,0.0,5.0,5.0,9.0,1.0,0.35,0.0,0.0,right
,,Anna,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,21.8819,23.6652,0.346320394,0.030893337,1.0,0.0,0.0,0.766299999,target,23.6655,24.6649,0.0,6.0,6.0,5.0,1.0,0.35,180.0,1.0,right
,,Anna,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,24.6655,26.7481,-0.376229819,-0.00216455,1.0,0.0,0.0,1.066299999,target,26.7482,27.7488,0.0,7.0,7.0,4.0,1.0,-0.35,0.0,1.0,left
,,Anna,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,27.7495,29.5985,0.396694215,-0.00216455,1.0,0.0,0.0,0.832900002,target,29.5986,30.5994,0.0,8.0,8.0,13.0,1.0,0.35,0.0,0.0,right
,,Anna,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,30.5999,32.3322,-0.360487973,0.004132231,1.0,0.0,0.0,0.716199999,target,32.3323,33.3317,0.0,9.0,9.0,2.0,1.0,-0.35,0.0,1.0,left
,,Anna,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,33.3321,35.4487,0.306965762,-0.007674144,1.0,0.0,0.0,1.099299999,target,35.4488,36.4489,0.0,10.0,10.0,7.0,1.0,0.35,180.0,1.0,right
,,Anna,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,36.4494,38.1827,-0.368358914,-0.015545085,1.0,0.0,0.0,0.716200001,target,38.1828,39.1829,0.0,11.0,11.0,6.0,1.0,-0.35,0.0,1.0,left
,,Anna,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,39.1833,41.0657,-0.306178646,-0.00216455,1.0,0.0,0.0,0.8659,target,41.0657,42.066,0.0,12.0,12.0,8.0,1.0,-0.35,180.0,0.0,left
,,Anna,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,42.0664,43.8493,0.384100796,0.017512766,1.0,0.0,0.0,0.7661,target,43.8494,44.8493,0.0,13.0,13.0,3.0,1.0,0.35,180.0,1.0,right
