instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0004,16.1007,Antonia,1,2025-12-14,posner,2023.2.2,Win32,61.34969325,,,,,,,,,,,,,,,,,,,,
,,Antonia,1,2025-12-14,posner,2023.2.2,Win32,61.34969325,16.1103,18.1846,-0.332791295,-0.017615176,1.0,0.0,0.0,1.0667,target,18.1849,19.1837,0.0,0.0,0.0,4.0,1.0,-0.35,0.0,1.0,left
,,Antonia,1,2025-12-14,posner,2023.2.2,Win32,61.34969325,19.1846,21.2842,0.410840208,0.009485095,1.0,0.0,0.0,1.0837,target,21.2846,22.2833,0.0,1.0,1.0,13.0,1.0,0.35,0.0,0.0,right
,,Antonia,1,2025-12-14,posner,2023.2.2,Win32,61.34969325,22.2839,24.434,-0.326287246,-0.040379429,1.0,0.0,0.0,1.1332,target,24.4342,25.434,0.0,2.0,2.0,8.0,1.0,-0.35,180.0,0.0,left
,,Antonia,1,2025-12-14,posner,2023.2.2,Win32,61.34969325,25.4348,27.1838,0.405420153,0.010569089,1.0,0.0,0.0,0.7333,target,27.1839,28.1841,0.0,3.0,3.0,3.0,1.0,0.35,180.0,1.0,right
,,Antonia,1,2025-12-14,posner,2023.2.2,Win32,61.34969325,28.1847,29.8672,-0.426016252,0.03550133,1.0,0.0,0.0,0.6664,target,29.8673,30.8673,0.0,4.0,4.0,10.0,1.0,-0.35,180.0,0.0,left
,,Antonia,1,2025-12-14,posner,2023.2.2,Win32,61.34969325,30.868,32.5173,0.397831945,-0.038211399,1.0,0.0,0.0,0.6328,target,32.5174,33.5171,0.0,5.0,5.0,5.0,1.0,0.35,180.0,1.0,right
,,Antonia,1,2025-12-14,posner,2023.2.2,Win32,61.34969325,33.5177,35.2343,0.381571783,-0.024119266,1.0,0.0,0.0,0.6991,target,35.2343,36.2352,0.0,6.0,6.0,11.0,1.0,0.35,0.0,0.0,right
,,Antonia,1,2025-12-14,posner,2023.2.2,Win32,61.34969325,36.2357,37.9179,-0.27533877,0.018157173,1.0,0.0,0.0,0.6664,target,37.9181,38.9178,0.0,7.0,7.0,0.0,1.0,-0.35,0.0,1.0,left
,,Antonia,1,2025-12-14,posner,2023.2.2,Win32,61.34969325,38.9184,40.651,-0.298102981,0.002981005,1.0,0.0,0.0,0.7168,target,40.651,41.6513,0.0,8.0,8.0,12.0,1.0,-0.35,180.0,0.0,left
,,Antonia,1,2025-12-14,posner,2023.2.2,Win32,61.34969325,41.6519,43.3345,0.343631486,0.021409198,1.0,0.0,0.0,0.666,target,43.3345,44.3344,0.0,9.0,9.0,9.0,1.0,0.35,0.0,0.0,right
,,Antonia,1,2025-12-14,posner,2023.2.2,Win32,61.34969325,44.3352,46.0012,0.317615209,-0.005691073,1.0,0.0,0.0,0.6648,target,46.0012,47.0017,0.0,10.0,10.0,1.0,1.0,0.35,180.0,1.0,right
,,Antonia,1,2025-12-14,posner,2023.2.2,Win32,61.34969325,47.0023,48.6846,-0.305691024,-0.001355014,1.0,0.0,0.0,0.6664,target,48.6846,49.6845,0.0,11.0,11.0,6.0,1.0,-0.35,0.0,1.0,left
,,Antonia,1,2025-12-14,posner,2023.2.2,Win32,61.34969325,49.685,51.3351,0.263414667,-0.02520326,1.0,0.0,0.0,0.6329,target,51.3352,52.3351,0.0,12.0,12.0,7.0,1.0,0.35,180.0,1.0,right
,,Antonia,1,2025-12-14,posner,2023.2.2,Win32,61.34969325,52.3358,54.0683,-0.264498662,-0.006775068,1.0,0.0,0.0,0.7156,target,54.0684,55.0682,0.0,13.0,13.0,2.0,1.0,-0.35,0.0,1.0,left
