instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0003,13.3118,Bee,1,2025-12-20,posner,2023.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,
,,Bee,1,2025-12-20,posner,2023.2.2,Win32,59.88023952,13.3234,14.9461,-0.383499297,0.017780939,1.0,0.0,0.0,0.6169,target,14.9466,15.9435,0.0,0.0,0.0,8.0,1.0,-0.35,180.0,0.0,left
,,Bee,1,2025-12-20,posner,2023.2.2,Win32,59.88023952,15.9451,17.3926,0.334566162,-0.006116669,1.0,0.0,0.0,0.4325,target,17.3927,18.3922,0.0,1.0,1.0,7.0,1.0,0.35,180.0,1.0,right
,,Bee,1,2025-12-20,posner,2023.2.2,Win32,59.88023952,18.3931,19.7415,-0.303840648,-0.011806569,1.0,0.0,0.0,0.3319,target,19.7416,20.7414,0.0,2.0,2.0,6.0,1.0,-0.35,0.0,1.0,left
,,Bee,1,2025-12-20,posner,2023.2.2,Win32,59.88023952,20.7424,22.0908,0.311806561,-0.010668563,1.0,0.0,0.0,0.3327,target,22.0909,23.0909,0.0,3.0,3.0,1.0,1.0,0.35,180.0,1.0,right
,,Bee,1,2025-12-20,posner,2023.2.2,Win32,59.88023952,23.0919,24.524,-0.317496461,-0.039118065,1.0,0.0,0.0,0.4172,target,24.5241,25.5225,0.0,4.0,4.0,12.0,1.0,-0.35,180.0,0.0,left
,,Bee,1,2025-12-20,posner,2023.2.2,Win32,59.88023952,25.5233,26.9888,0.357325764,-0.020910401,1.0,0.0,0.0,0.4494,target,26.9891,27.9887,0.0,5.0,5.0,13.0,1.0,0.35,0.0,0.0,right
,,Bee,1,2025-12-20,posner,2023.2.2,Win32,59.88023952,27.9895,29.4042,-0.290184922,-0.036842097,1.0,0.0,0.0,0.3991,target,29.4043,30.4046,0.0,6.0,6.0,2.0,1.0,-0.35,0.0,1.0,left
,,Bee,1,2025-12-20,posner,2023.2.2,Win32,59.88023952,30.4056,31.7531,0.352773826,0.020056908,1.0,0.0,0.0,0.3322,target,31.7533,32.753,0.0,7.0,7.0,3.0,1.0,0.35,180.0,1.0,right
,,Bee,1,2025-12-20,posner,2023.2.2,Win32,59.88023952,32.7537,34.1695,0.277667158,-0.01749647,1.0,0.0,0.0,0.4003,target,34.1696,35.1685,0.0,8.0,8.0,9.0,1.0,0.35,0.0,0.0,right
,,Bee,1,2025-12-20,posner,2023.2.2,Win32,59.88023952,35.1691,36.5515,0.295874822,-0.025462296,1.0,0.0,0.0,0.3664,target,36.5515,37.5508,0.0,9.0,9.0,5.0,1.0,0.35,180.0,1.0,right
,,Bee,1,2025-12-20,posner,2023.2.2,Win32,59.88023952,37.5513,39.0333,0.292460934,-0.01749647,1.0,0.0,0.0,0.466,target,39.0334,40.034,0.0,10.0,10.0,11.0,1.0,0.35,0.0,0.0,right
,,Bee,1,2025-12-20,posner,2023.2.2,Win32,59.88023952,40.0349,41.4667,-0.320910349,-0.034566171,1.0,0.0,0.0,0.4162,target,41.4668,42.466,0.0,11.0,11.0,0.0,1.0,-0.35,0.0,1.0,left
,,Bee,1,2025-12-20,posner,2023.2.2,Win32,59.88023952,42.4668,43.8987,-0.318634424,-0.010668563,1.0,0.0,0.0,0.4159,target,43.8988,44.8991,0.0,12.0,12.0,4.0,1.0,-0.35,0.0,1.0,left
,,Bee,1,2025-12-20,posner,2023.2.2,Win32,59.88023952,44.8998,46.3815,-0.303840648,-0.016358464,1.0,0.0,0.0,0.4665,target,46.3815,47.3813,0.0,13.0,13.0,10.0,1.0,-0.35,180.0,0.0,left
