instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0003,1.6936,Benedict,1,2025-12-18,posner,2023.2.2,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,
,,Benedict,1,2025-12-18,posner,2023.2.2,Win32,60.24096386,1.7026,3.4627,-0.274253183,0.02119487,1.0,0.0,0.0,0.7503,target,3.4631,4.4635,0.0,0.0,0.0,6.0,1.0,-0.35,0.0,1.0,left
,,Benedict,1,2025-12-18,posner,2023.2.2,Win32,60.24096386,4.465,6.282,-0.351635864,0.002987206,1.0,0.0,0.0,0.8008,target,6.2821,7.2831,0.0,1.0,1.0,8.0,1.0,-0.35,180.0,0.0,left
,,Benedict,1,2025-12-18,posner,2023.2.2,Win32,60.24096386,7.2838,8.8678,-0.351635864,0.047368404,1.0,0.0,0.0,0.5671,target,8.868,9.8692,0.0,2.0,2.0,12.0,1.0,-0.35,180.0,0.0,left
,,Benedict,1,2025-12-18,posner,2023.2.2,Win32,60.24096386,9.8701,11.3874,-0.39829303,0.037126609,1.0,0.0,0.0,0.5004,target,11.3875,12.3889,0.0,3.0,3.0,10.0,1.0,-0.35,180.0,0.0,left
,,Benedict,1,2025-12-18,posner,2023.2.2,Win32,60.24096386,12.3897,14.241,-0.322048312,0.02119487,1.0,0.0,0.0,0.8341,target,14.2412,15.2422,0.0,4.0,4.0,4.0,1.0,-0.35,0.0,1.0,left
,,Benedict,1,2025-12-18,posner,2023.2.2,Win32,60.24096386,15.2428,16.9265,0.319772387,-0.080085375,1.0,0.0,0.0,0.6668,target,16.9266,17.929,0.0,5.0,5.0,1.0,1.0,0.35,180.0,1.0,right
,,Benedict,1,2025-12-18,posner,2023.2.2,Win32,60.24096386,17.9299,19.4969,-0.336842088,0.053058304,1.0,0.0,0.0,0.5505,target,19.4971,20.4979,0.0,6.0,6.0,0.0,1.0,-0.35,0.0,1.0,left
,,Benedict,1,2025-12-18,posner,2023.2.2,Win32,60.24096386,20.4988,22.3165,0.372119453,-0.012944532,1.0,0.0,0.0,0.8004,target,22.3165,23.3176,0.0,7.0,7.0,7.0,1.0,0.35,180.0,1.0,right
,,Benedict,1,2025-12-18,posner,2023.2.2,Win32,60.24096386,23.3182,24.7528,-0.282219009,0.014367007,1.0,0.0,0.0,0.4339,target,24.7529,25.7539,0.0,8.0,8.0,2.0,1.0,-0.35,0.0,1.0,left
,,Benedict,1,2025-12-18,posner,2023.2.2,Win32,60.24096386,25.7546,27.2385,0.294736859,-0.048221897,1.0,0.0,0.0,0.4668,target,27.2386,28.2403,0.0,9.0,9.0,3.0,1.0,0.35,180.0,1.0,right
,,Benedict,1,2025-12-18,posner,2023.2.2,Win32,60.24096386,28.2413,29.8245,0.309530635,-0.037980103,1.0,0.0,0.0,0.567,target,29.8245,30.8262,0.0,10.0,10.0,9.0,1.0,0.35,0.0,0.0,right
,,Benedict,1,2025-12-18,posner,2023.2.2,Win32,60.24096386,30.8269,32.3274,0.411948756,-0.053911798,1.0,0.0,0.0,0.4834,target,32.3275,33.3287,0.0,11.0,11.0,13.0,1.0,0.35,0.0,0.0,right
,,Benedict,1,2025-12-18,posner,2023.2.2,Win32,60.24096386,33.3293,34.8139,0.291322884,-0.010668563,1.0,0.0,0.0,0.4839,target,34.814,35.8148,0.0,12.0,12.0,5.0,1.0,0.35,180.0,1.0,right
,,Benedict,1,2025-12-18,posner,2023.2.2,Win32,60.24096386,35.8155,37.4009,0.352773826,-0.007254632,1.0,0.0,0.0,0.5844,target,37.401,38.401,0.0,13.0,13.0,11.0,1.0,0.35,0.0,0.0,right
