instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0004,5.8612,a,1,2025-12-18,posner,2023.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,
,,a,1,2025-12-18,posner,2023.2.2,MacIntel,60.0024001,5.8672,7.4777,0.395360429,0.014647239,1.0,0.0,0.0,0.598,target,7.478,8.4778,0.0,0.0,0.0,7.0,1.0,0.35,180.0,1.0,right
,,a,1,2025-12-18,posner,2023.2.2,MacIntel,60.0024001,8.4784,10.095,-0.340893405,0.04650115,1.0,0.0,0.0,0.6133,target,10.0951,11.0951,0.0,1.0,1.0,12.0,1.0,-0.35,180.0,0.0,left
,,a,1,2025-12-18,posner,2023.2.2,MacIntel,60.0024001,11.0955,12.8789,-0.433876534,-0.037265146,1.0,0.0,0.0,0.7675,target,12.8791,13.8782,0.0,2.0,2.0,4.0,1.0,-0.35,0.0,1.0,left
,,a,1,2025-12-18,posner,2023.2.2,MacIntel,60.0024001,13.8786,15.3933,-0.353637845,0.013659893,1.0,0.0,0.0,0.5145,target,15.3935,16.3934,0.0,3.0,3.0,2.0,1.0,-0.35,0.0,1.0,left
,,a,1,2025-12-18,posner,2023.2.2,MacIntel,60.0024001,16.3936,17.8604,-0.321237538,-0.010472584,1.0,0.0,0.0,0.4481,target,17.8605,18.8619,0.0,4.0,4.0,10.0,1.0,-0.35,180.0,0.0,left
,,a,1,2025-12-18,posner,2023.2.2,MacIntel,60.0024001,18.8622,20.5272,0.328431748,0.024846626,1.0,0.0,0.0,0.646,target,20.5273,21.5292,0.0,5.0,5.0,13.0,1.0,0.35,0.0,0.0,right
,,a,1,2025-12-18,posner,2023.2.2,MacIntel,60.0024001,21.5294,23.1136,0.358588957,0.030348926,1.0,0.0,0.0,0.5689,target,23.1138,24.1125,0.0,6.0,6.0,1.0,1.0,0.35,180.0,1.0,right
,,a,1,2025-12-18,posner,2023.2.2,MacIntel,60.0024001,24.1128,25.5773,-0.343726035,0.038233321,1.0,0.0,0.0,0.4641,target,25.5774,26.5777,0.0,7.0,7.0,0.0,1.0,-0.35,0.0,1.0,left
,,a,1,2025-12-18,posner,2023.2.2,MacIntel,60.0024001,26.5781,28.1602,-0.389565759,0.017647623,1.0,0.0,0.0,0.5815,target,28.1604,29.1602,0.0,8.0,8.0,8.0,1.0,-0.35,180.0,0.0,left
,,a,1,2025-12-18,posner,2023.2.2,MacIntel,60.0024001,29.1605,30.545,0.365730445,0.033488305,1.0,0.0,0.0,0.364,target,30.5451,31.5437,0.0,9.0,9.0,3.0,1.0,0.35,180.0,1.0,right
,,a,1,2025-12-18,posner,2023.2.2,MacIntel,60.0024001,31.5441,33.1783,0.324003067,0.032218175,1.0,0.0,0.0,0.6325,target,33.1785,34.1775,0.0,10.0,10.0,11.0,1.0,0.35,0.0,0.0,right
,,a,1,2025-12-18,posner,2023.2.2,MacIntel,60.0024001,34.178,35.9119,0.417657209,0.004304064,1.0,0.0,0.0,0.7172,target,35.9121,36.9134,0.0,11.0,11.0,9.0,1.0,0.35,0.0,0.0,right
,,a,1,2025-12-18,posner,2023.2.2,MacIntel,60.0024001,36.9139,38.2939,-0.357788535,-0.008938842,1.0,0.0,0.0,0.3663,target,38.294,39.2952,0.0,12.0,12.0,6.0,1.0,-0.35,0.0,1.0,left
,,a,1,2025-12-18,posner,2023.2.2,MacIntel,60.0024001,39.2956,40.6292,0.390021089,0.027468367,1.0,0.0,0.0,0.3315,target,40.6294,41.6294,0.0,13.0,13.0,5.0,1.0,0.35,180.0,1.0,right
