instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns,finish.started,valid_av,invalid_av
0.0,8.942,aaa,1,2025-12-16,posner,2023.2.2,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,
,,aaa,1,2025-12-16,posner,2023.2.2,Win32,143.6781609,8.946,10.532,0.315205327,0.020532741,1.0,0.0,0.0,0.58,target,10.533,11.532,0.0,0.0,0.0,7.0,1.0,0.35,180.0,1.0,right,,,
,,aaa,1,2025-12-16,posner,2023.2.2,Win32,143.6781609,11.533,13.089,-0.278579356,-0.026082131,1.0,0.0,0.0,0.549,target,13.089,14.087,0.0,1.0,1.0,2.0,1.0,-0.35,0.0,1.0,left,,,
,,aaa,1,2025-12-16,posner,2023.2.2,Win32,143.6781609,14.088,15.615,-0.268590455,-0.004994451,1.0,0.0,0.0,0.521,target,15.615,16.615,0.0,2.0,2.0,4.0,1.0,-0.35,0.0,1.0,left,,,
,,aaa,1,2025-12-16,posner,2023.2.2,Win32,143.6781609,16.616,18.122,-0.273029967,0.013873474,1.0,0.0,0.0,0.5,target,18.122,19.122,0.0,3.0,3.0,10.0,1.0,-0.35,180.0,0.0,left,,,
,,aaa,1,2025-12-16,posner,2023.2.2,Win32,143.6781609,19.123,21.129,0.278579356,-0.017203108,1.0,0.0,0.0,1.0,target,21.129,22.129,0.0,4.0,4.0,13.0,1.0,0.35,0.0,0.0,right,,,
,,aaa,1,2025-12-16,posner,2023.2.2,Win32,143.6781609,22.13,24.268,0.294117647,-0.003884573,1.0,0.0,0.0,1.132,target,24.268,25.262,0.0,5.0,5.0,3.0,1.0,0.35,180.0,1.0,right,,,
,,aaa,1,2025-12-16,posner,2023.2.2,Win32,143.6781609,25.262,26.928,-0.325194229,-0.013873474,1.0,0.0,0.0,0.66,target,26.929,27.928,0.0,6.0,6.0,6.0,1.0,-0.35,0.0,1.0,left,,,
,,aaa,1,2025-12-16,posner,2023.2.2,Win32,143.6781609,27.929,29.831,-0.291897891,0.012763596,1.0,0.0,0.0,0.896,target,29.831,30.832,0.0,7.0,7.0,8.0,1.0,-0.35,180.0,0.0,left,,,
,,aaa,1,2025-12-16,posner,2023.2.2,Win32,143.6781609,30.833,32.679,0.286348502,-0.002774695,1.0,0.0,0.0,0.84,target,32.679,33.671,0.0,8.0,8.0,1.0,1.0,0.35,180.0,1.0,right,,,
,,aaa,1,2025-12-16,posner,2023.2.2,Win32,143.6781609,33.672,35.616,-0.271920089,-0.01054384,1.0,0.0,0.0,0.936,target,35.616,36.615,0.0,9.0,9.0,12.0,1.0,-0.35,180.0,0.0,left,,,
,,aaa,1,2025-12-16,posner,2023.2.2,Win32,143.6781609,36.616,38.721,-0.294117647,-0.008324084,1.0,0.0,0.0,1.098,target,38.722,39.72,0.0,10.0,10.0,0.0,1.0,-0.35,0.0,1.0,left,,,
,,aaa,1,2025-12-16,posner,2023.2.2,Win32,143.6781609,39.722,41.505,0.298557159,0.000554939,1.0,0.0,0.0,0.778,target,41.505,42.505,0.0,11.0,11.0,5.0,1.0,0.35,180.0,1.0,right,,,
,,aaa,1,2025-12-16,posner,2023.2.2,Win32,143.6781609,42.505,44.061,0.341842397,-0.029411765,1.0,0.0,0.0,0.549,target,44.061,45.06,0.0,12.0,12.0,9.0,1.0,0.35,0.0,0.0,right,,,
,,aaa,1,2025-12-16,posner,2023.2.2,Win32,143.6781609,45.061,46.88,0.278579356,-0.012763596,1.0,0.0,0.0,0.819,target,46.88,47.88,0.0,13.0,13.0,11.0,1.0,0.35,0.0,0.0,right,,,
,,aaa,1,2025-12-16,posner,2023.2.2,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,47.88,0.76975,0.783333333
