instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0003,1.8453,aaa,1,2025-12-21,posner,2023.2.2,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,
,,aaa,1,2025-12-21,posner,2023.2.2,MacIntel,63.69426752,1.8533,4.145,0.289635047,0.020405704,1.0,0.0,0.0,1.2766,target,4.1452,5.1447,0.0,0.0,0.0,3.0,1.0,0.35,180.0,1.0,right
,,aaa,1,2025-12-21,posner,2023.2.2,MacIntel,63.69426752,5.1451,7.1951,0.392829067,0.025632822,1.0,0.0,0.0,1.034,target,7.1952,8.1941,0.0,1.0,1.0,9.0,1.0,0.35,0.0,0.0,right
,,aaa,1,2025-12-21,posner,2023.2.2,MacIntel,63.69426752,8.1943,9.8276,-0.305368338,-0.022752334,1.0,0.0,0.0,0.6321,target,9.8276,10.8284,0.0,2.0,2.0,6.0,1.0,-0.35,0.0,1.0,left
,,aaa,1,2025-12-21,posner,2023.2.2,MacIntel,63.69426752,10.8287,12.5948,-0.432840836,0.036612261,1.0,0.0,0.0,0.7504,target,12.5948,13.5945,0.0,3.0,3.0,12.0,1.0,-0.35,180.0,0.0,left
,,aaa,1,2025-12-21,posner,2023.2.2,MacIntel,63.69426752,13.5949,15.1774,0.300510346,0.017879679,1.0,0.0,0.0,0.5668,target,15.1775,16.1777,0.0,4.0,4.0,11.0,1.0,0.35,0.0,0.0,right
,,aaa,1,2025-12-21,posner,2023.2.2,MacIntel,63.69426752,16.1781,17.7781,-0.275753126,-0.030782079,1.0,0.0,0.0,0.5832,target,17.7782,18.7773,0.0,5.0,5.0,4.0,1.0,-0.35,0.0,1.0,left
,,aaa,1,2025-12-21,posner,2023.2.2,MacIntel,63.69426752,18.7776,20.2948,0.304771589,0.014160377,1.0,0.0,0.0,0.5166,target,20.2949,21.2949,0.0,6.0,6.0,1.0,1.0,0.35,180.0,1.0,right
,,aaa,1,2025-12-21,posner,2023.2.2,MacIntel,63.69426752,21.2954,22.945,0.386318797,0.045531432,1.0,0.0,0.0,0.6343,target,22.9451,23.9447,0.0,7.0,7.0,13.0,1.0,0.35,0.0,0.0,right
,,aaa,1,2025-12-21,posner,2023.2.2,MacIntel,63.69426752,23.9452,25.6611,-0.436213359,-0.018954993,1.0,0.0,0.0,0.7005,target,25.6611,26.6617,0.0,8.0,8.0,8.0,1.0,-0.35,180.0,0.0,left
,,aaa,1,2025-12-21,posner,2023.2.2,MacIntel,63.69426752,26.6621,28.3108,-0.307060761,-0.009515125,1.0,0.0,0.0,0.6326,target,28.3108,29.3111,0.0,9.0,9.0,2.0,1.0,-0.35,0.0,1.0,left
,,aaa,1,2025-12-21,posner,2023.2.2,MacIntel,63.69426752,29.3113,31.2438,-0.282395359,-0.009060762,1.0,0.0,0.0,0.9166,target,31.2438,32.2438,0.0,10.0,10.0,10.0,1.0,-0.35,180.0,0.0,left
,,aaa,1,2025-12-21,posner,2023.2.2,MacIntel,63.69426752,32.2443,34.0944,-0.389724489,-0.022121843,1.0,0.0,0.0,0.8499,target,34.0945,35.0946,0.0,11.0,11.0,0.0,1.0,-0.35,0.0,1.0,left
,,aaa,1,2025-12-21,posner,2023.2.2,MacIntel,63.69426752,35.0948,36.5936,0.277212229,-0.011709299,1.0,0.0,0.0,0.4831,target,36.5937,37.5943,0.0,12.0,12.0,7.0,1.0,0.35,180.0,1.0,right
,,aaa,1,2025-12-21,posner,2023.2.2,MacIntel,63.69426752,37.5946,39.0945,0.411884578,-0.01308736,1.0,0.0,0.0,0.4833,target,39.0945,40.0947,0.0,13.0,13.0,5.0,1.0,0.35,180.0,1.0,right
