instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0002,4.3958,aaaaa,1,2025-12-16,posner,2023.2.2,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,
,,aaaaa,1,2025-12-16,posner,2023.2.2,MacIntel,59.52380952,4.4024,9.8619,0.363703004,-0.017442561,1.0,0.0,0.0,4.4496,target,9.8623,10.8618,0.0,0.0,0.0,13.0,1.0,0.35,0.0,0.0,right
,,aaaaa,1,2025-12-16,posner,2023.2.2,MacIntel,59.52380952,10.8628,12.4941,0.402529523,-0.057243131,1.0,0.0,0.0,0.6161,target,12.4943,13.4948,0.0,1.0,1.0,7.0,1.0,0.35,180.0,1.0,right
,,aaaaa,1,2025-12-16,posner,2023.2.2,MacIntel,59.52380952,13.4954,15.4944,-0.277218228,0.015996546,1.0,0.0,0.0,0.983,target,15.4947,16.4941,0.0,2.0,2.0,8.0,1.0,-0.35,180.0,0.0,left
,,aaaaa,1,2025-12-16,posner,2023.2.2,MacIntel,59.52380952,16.4945,18.8609,-0.285035749,0.019686897,1.0,0.0,0.0,1.3659,target,18.861,19.8616,0.0,3.0,3.0,2.0,1.0,-0.35,0.0,1.0,left
,,aaaaa,1,2025-12-16,posner,2023.2.2,MacIntel,59.52380952,19.8623,21.8114,-0.373403358,-0.000717987,1.0,0.0,0.0,0.9332,target,21.8115,22.8116,0.0,4.0,4.0,0.0,1.0,-0.35,0.0,1.0,left
,,aaaaa,1,2025-12-16,posner,2023.2.2,MacIntel,59.52380952,22.8123,24.8609,0.32206479,0.002103752,1.0,0.0,0.0,1.0328,target,24.861,25.8618,0.0,5.0,5.0,11.0,1.0,0.35,0.0,0.0,right
,,aaaaa,1,2025-12-16,posner,2023.2.2,MacIntel,59.52380952,25.8623,27.6293,-0.390263496,-0.000974052,1.0,0.0,0.0,0.7512,target,27.6295,28.6279,0.0,6.0,6.0,12.0,1.0,-0.35,180.0,0.0,left
,,aaaaa,1,2025-12-16,posner,2023.2.2,MacIntel,59.52380952,28.6283,30.3777,0.317862307,-0.004784905,1.0,0.0,0.0,0.7329,target,30.3778,31.3782,0.0,7.0,7.0,9.0,1.0,0.35,0.0,0.0,right
,,aaaaa,1,2025-12-16,posner,2023.2.2,MacIntel,59.52380952,31.3788,35.7943,-0.319328406,-0.018707825,1.0,0.0,0.0,3.3996,target,35.7945,36.7948,0.0,8.0,8.0,10.0,1.0,-0.35,180.0,0.0,left
,,aaaaa,1,2025-12-16,posner,2023.2.2,MacIntel,59.52380952,36.7954,38.4273,0.258023377,0.008650988,1.0,0.0,0.0,0.616,target,38.4274,39.4281,0.0,9.0,9.0,1.0,1.0,0.35,180.0,1.0,right
,,aaaaa,1,2025-12-16,posner,2023.2.2,MacIntel,59.52380952,39.4287,41.0276,0.302774542,0.021599855,1.0,0.0,0.0,0.5832,target,41.0277,42.0281,0.0,10.0,10.0,3.0,1.0,0.35,180.0,1.0,right
,,aaaaa,1,2025-12-16,posner,2023.2.2,MacIntel,59.52380952,42.0286,43.5944,0.264460154,-0.002726342,1.0,0.0,0.0,0.5497,target,43.5945,44.5948,0.0,11.0,11.0,5.0,1.0,0.35,180.0,1.0,right
,,aaaaa,1,2025-12-16,posner,2023.2.2,MacIntel,59.52380952,44.5954,46.6444,-0.284910227,0.031606483,1.0,0.0,0.0,1.0326,target,46.6445,47.6448,0.0,12.0,12.0,6.0,1.0,-0.35,0.0,1.0,left
,,aaaaa,1,2025-12-16,posner,2023.2.2,MacIntel,59.52380952,47.6454,49.5111,-0.340737468,0.006748072,1.0,0.0,0.0,0.8497,target,49.5112,50.5115,0.0,13.0,13.0,4.0,1.0,-0.35,0.0,1.0,left
