instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0,0.7675,ahmonk,1,2025-12-16,posner,2023.2.2,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,
,,ahmonk,1,2025-12-16,posner,2023.2.2,Win32,163.9344262,0.7689,2.1373,0.393672199,0.030082988,1.0,0.0,0.0,0.3636,target,2.1373,3.1371,0.0,0.0,0.0,9.0,1.0,0.35,0.0,0.0,right
,,ahmonk,1,2025-12-16,posner,2023.2.2,Win32,163.9344262,3.1375,4.7796,-0.325207469,0.006224066,1.0,0.0,0.0,0.6362,target,4.7797,5.78,0.0,1.0,1.0,10.0,1.0,-0.35,180.0,0.0,left
,,ahmonk,1,2025-12-16,posner,2023.2.2,Win32,163.9344262,5.7803,7.0903,-0.396784232,0.002074689,1.0,0.0,0.0,0.3047,target,7.0903,8.0886,0.0,2.0,2.0,0.0,1.0,-0.35,0.0,1.0,left
,,ahmonk,1,2025-12-16,posner,2023.2.2,Win32,163.9344262,8.0888,9.3922,0.362551867,0.005186722,1.0,0.0,0.0,0.2972,target,9.3922,10.3917,0.0,3.0,3.0,13.0,1.0,0.35,0.0,0.0,right
,,ahmonk,1,2025-12-16,posner,2023.2.2,Win32,163.9344262,10.392,11.7435,-0.303423237,0.012448133,1.0,0.0,0.0,0.3456,target,11.7435,12.7431,0.0,4.0,4.0,8.0,1.0,-0.35,180.0,0.0,left
,,ahmonk,1,2025-12-16,posner,2023.2.2,Win32,163.9344262,12.7433,14.1677,-0.345954357,0.021784232,1.0,0.0,0.0,0.4183,target,14.1678,15.1676,0.0,5.0,5.0,2.0,1.0,-0.35,0.0,1.0,left
,,ahmonk,1,2025-12-16,posner,2023.2.2,Win32,163.9344262,15.1679,16.4404,0.300311203,-0.004149378,1.0,0.0,0.0,0.2667,target,16.4407,17.4406,0.0,6.0,6.0,1.0,1.0,0.35,180.0,1.0,right
,,ahmonk,1,2025-12-16,posner,2023.2.2,Win32,163.9344262,17.441,18.7437,0.415456432,0.031120332,1.0,0.0,0.0,0.2972,target,18.7438,19.7437,0.0,7.0,7.0,7.0,1.0,0.35,180.0,1.0,right
,,ahmonk,1,2025-12-16,posner,2023.2.2,Win32,163.9344262,19.7441,21.0403,0.338692946,0.0093361,1.0,0.0,0.0,0.2908,target,21.0404,22.0402,0.0,8.0,8.0,5.0,1.0,0.35,180.0,1.0,right
,,ahmonk,1,2025-12-16,posner,2023.2.2,Win32,163.9344262,22.0404,23.375,-0.336618257,0.03526971,1.0,0.0,0.0,0.3285,target,23.375,24.3736,0.0,9.0,9.0,4.0,1.0,-0.35,0.0,1.0,left
,,ahmonk,1,2025-12-16,posner,2023.2.2,Win32,163.9344262,24.3738,25.6707,0.293049793,0.002074689,1.0,0.0,0.0,0.2909,target,25.6708,26.6706,0.0,10.0,10.0,3.0,1.0,0.35,180.0,1.0,right
,,ahmonk,1,2025-12-16,posner,2023.2.2,Win32,163.9344262,26.6708,27.9803,-0.368775934,0.015560166,1.0,0.0,0.0,0.3036,target,27.9803,28.9798,0.0,11.0,11.0,12.0,1.0,-0.35,180.0,0.0,left
,,ahmonk,1,2025-12-16,posner,2023.2.2,Win32,163.9344262,28.9801,30.3071,-0.366701245,0.02593361,1.0,0.0,0.0,0.319,target,30.3072,31.307,0.0,12.0,12.0,6.0,1.0,-0.35,0.0,1.0,left
,,ahmonk,1,2025-12-16,posner,2023.2.2,Win32,163.9344262,31.3073,32.5801,0.312759336,-0.003112033,1.0,0.0,0.0,0.2669,target,32.5801,33.58,0.0,13.0,13.0,11.0,1.0,0.35,0.0,0.0,right
