instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0002,22.3144,ajk,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,
,,ajk,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,22.3216,24.1814,0.374818372,0.073607733,1.0,0.0,0.0,0.8495,target,24.1817,25.1814,0.0,0.0,0.0,13.0,1.0,0.35,0.0,0.0,right
,,ajk,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,25.1819,27.1976,0.357385077,-0.020339005,1.0,0.0,0.0,1.0003,target,27.1977,28.1976,0.0,1.0,1.0,5.0,1.0,0.35,180.0,1.0,right
,,ajk,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,28.1981,30.1642,0.342857232,-0.01549639,1.0,0.0,0.0,0.9494,target,30.1644,31.1678,0.0,2.0,2.0,3.0,1.0,0.35,180.0,1.0,right
,,ajk,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,31.1683,33.0476,0.335109018,0.005811123,1.0,0.0,0.0,0.8668,target,33.0477,34.0483,0.0,3.0,3.0,7.0,1.0,0.35,180.0,1.0,right
,,ajk,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,34.0488,36.1851,-0.395157378,-0.071670717,1.0,0.0,0.0,1.1357,target,36.1853,37.1863,0.0,4.0,4.0,0.0,1.0,-0.35,0.0,1.0,left
,,ajk,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,37.1869,38.9311,-0.404842608,0.0,1.0,0.0,0.0,0.7334,target,38.9312,39.9311,0.0,5.0,5.0,10.0,1.0,-0.35,180.0,0.0,left
,,ajk,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,39.9317,41.7145,0.328329386,0.01937046,1.0,0.0,0.0,0.7668,target,41.7146,42.715,0.0,6.0,6.0,1.0,1.0,0.35,180.0,1.0,right
,,ajk,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,42.7155,44.998,-0.394188869,0.028087145,1.0,0.0,0.0,1.2662,target,44.998,45.9978,0.0,7.0,7.0,2.0,1.0,-0.35,0.0,1.0,left
,,ajk,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,45.9981,47.848,-0.328329276,-0.00581116,1.0,0.0,0.0,0.8493,target,47.8482,48.8481,0.0,8.0,8.0,4.0,1.0,-0.35,0.0,1.0,left
,,ajk,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,48.8485,50.8982,0.302179221,-0.006779668,1.0,0.0,0.0,1.0324,target,50.8983,51.899,0.0,9.0,9.0,11.0,1.0,0.35,0.0,0.0,right
,,ajk,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,51.8995,53.7149,-0.354479404,0.02905569,1.0,0.0,0.0,0.7963,target,53.7149,54.7173,0.0,10.0,10.0,8.0,1.0,-0.35,180.0,0.0,left
,,ajk,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,54.7177,56.4482,-0.378692479,0.012590792,1.0,0.0,0.0,0.7165,target,56.4483,57.4509,0.0,11.0,11.0,6.0,1.0,-0.35,0.0,1.0,left
,,ajk,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,57.4515,59.3817,-0.414527838,-0.031961252,1.0,0.0,0.0,0.916,target,59.3819,60.3819,0.0,12.0,12.0,12.0,1.0,-0.35,180.0,0.0,left
,,ajk,1,2025-12-19,posner,2023.2.2,Win32,59.88023952,60.3824,62.2487,0.374818372,0.039709428,1.0,0.0,0.0,0.8657,target,62.2487,63.2489,0.0,13.0,13.0,9.0,1.0,0.35,0.0,0.0,right
