instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0,0.665,ak3,1,2025-12-20,posner,2023.2.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,
,,ak3,1,2025-12-20,posner,2023.2.2,Win32,60.0240096,0.671,2.146,-0.396735195,-0.008827071,1.0,0.0,0.0,0.466,target,2.147,3.144,0.0,0.0,0.0,2.0,1.0,-0.35,0.0,1.0,left
,,ak3,1,2025-12-20,posner,2023.2.2,Win32,60.0240096,3.146,4.63,0.295888769,0.001813785,1.0,0.0,0.0,0.466,target,4.63,5.629,0.0,1.0,1.0,1.0,1.0,0.35,180.0,1.0,right
,,ak3,1,2025-12-20,posner,2023.2.2,Win32,60.0240096,5.63,7.178,0.367472823,0.013422015,1.0,0.0,0.0,0.533,target,7.178,8.179,0.0,2.0,2.0,3.0,1.0,0.35,180.0,1.0,right
,,ak3,1,2025-12-20,posner,2023.2.2,Win32,60.0240096,8.179,9.695,0.359733978,-0.027206771,1.0,0.0,0.0,0.499,target,9.695,10.695,0.0,3.0,3.0,11.0,1.0,0.35,0.0,0.0,right
,,ak3,1,2025-12-20,posner,2023.2.2,Win32,60.0240096,10.695,12.245,0.364570738,0.0356711,1.0,0.0,0.0,0.533,target,12.245,13.245,0.0,4.0,4.0,9.0,1.0,0.35,0.0,0.0,right
,,ak3,1,2025-12-20,posner,2023.2.2,Win32,60.0240096,13.245,14.729,0.364570738,0.015356726,1.0,0.0,0.0,0.468,target,14.729,15.728,0.0,5.0,5.0,5.0,1.0,0.35,180.0,1.0,right
,,ak3,1,2025-12-20,posner,2023.2.2,Win32,60.0240096,15.73,17.194,0.32200724,-0.008827071,1.0,0.0,0.0,0.45,target,17.194,18.194,0.0,6.0,6.0,7.0,1.0,0.35,180.0,1.0,right
,,ak3,1,2025-12-20,posner,2023.2.2,Win32,60.0240096,18.194,19.811,-0.289359115,-0.003990312,1.0,0.0,0.0,0.616,target,19.811,20.811,0.0,7.0,7.0,4.0,1.0,-0.35,0.0,1.0,left
,,ak3,1,2025-12-20,posner,2023.2.2,Win32,60.0240096,20.811,22.427,-0.335792034,-0.023337349,1.0,0.0,0.0,0.599,target,22.428,23.428,0.0,8.0,8.0,8.0,1.0,-0.35,180.0,0.0,left
,,ak3,1,2025-12-20,posner,2023.2.2,Win32,60.0240096,23.429,25.044,-0.365779927,0.022128159,1.0,0.0,0.0,0.601,target,25.044,26.044,0.0,9.0,9.0,0.0,1.0,-0.35,0.0,1.0,left
,,ak3,1,2025-12-20,posner,2023.2.2,Win32,60.0240096,26.044,27.544,-0.284522355,-0.03010882,1.0,0.0,0.0,0.5,target,27.544,28.544,0.0,10.0,10.0,6.0,1.0,-0.35,0.0,1.0,left
,,ak3,1,2025-12-20,posner,2023.2.2,Win32,60.0240096,28.545,30.094,-0.319347045,0.060822234,1.0,0.0,0.0,0.533,target,30.094,31.094,0.0,11.0,11.0,12.0,1.0,-0.35,180.0,0.0,left
,,ak3,1,2025-12-20,posner,2023.2.2,Win32,60.0240096,31.095,33.011,-0.33482466,-0.02527206,1.0,0.0,0.0,0.899,target,33.012,34.012,0.0,12.0,12.0,10.0,1.0,-0.35,180.0,0.0,left
,,ak3,1,2025-12-20,posner,2023.2.2,Win32,60.0240096,34.015,35.561,0.368440086,-0.014631204,1.0,0.0,0.0,0.532,target,35.561,36.561,0.0,13.0,13.0,13.0,1.0,0.35,0.0,0.0,right
