instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0,73.243,ak,1,2025-12-21,posner,2023.2.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,
,,ak,1,2025-12-21,posner,2023.2.2,Win32,60.0240096,73.251,75.109,0.418742502,-0.004957686,1.0,0.0,0.0,0.847,target,75.109,76.109,0.0,0.0,0.0,1.0,1.0,0.35,180.0,1.0,right
,,ak,1,2025-12-21,posner,2023.2.2,Win32,60.0240096,76.111,77.991,-0.318379671,-0.009794445,1.0,0.0,0.0,0.866,target,77.991,78.992,0.0,1.0,1.0,0.0,1.0,-0.35,0.0,1.0,left
,,ak,1,2025-12-21,posner,2023.2.2,Win32,60.0240096,78.993,80.658,0.336517518,-0.009794445,1.0,0.0,0.0,0.649,target,80.658,81.659,0.0,2.0,2.0,11.0,1.0,0.35,0.0,0.0,right
,,ak,1,2025-12-21,posner,2023.2.2,Win32,60.0240096,81.659,84.008,-0.428657799,-0.003990312,1.0,0.0,0.0,1.333,target,84.008,85.009,0.0,3.0,3.0,10.0,1.0,-0.35,180.0,0.0,left
,,ak,1,2025-12-21,posner,2023.2.2,Win32,60.0240096,85.01,87.057,-0.437363981,-0.057194665,1.0,0.0,0.0,1.032,target,87.057,88.058,0.0,4.0,4.0,4.0,1.0,-0.35,0.0,1.0,left
,,ak,1,2025-12-21,posner,2023.2.2,Win32,60.0240096,88.059,90.457,-0.396735195,-0.002055637,1.0,0.0,0.0,1.383,target,90.457,91.457,0.0,5.0,5.0,8.0,1.0,-0.35,180.0,0.0,left
,,ak,1,2025-12-21,posner,2023.2.2,Win32,60.0240096,91.458,93.059,0.392623883,-0.038815001,1.0,0.0,0.0,0.584,target,93.059,94.058,0.0,6.0,6.0,3.0,1.0,0.35,180.0,1.0,right
,,ak,1,2025-12-21,posner,2023.2.2,Win32,60.0240096,94.061,95.641,-0.343530842,-0.002055637,1.0,0.0,0.0,0.567,target,95.641,96.641,0.0,7.0,7.0,2.0,1.0,-0.35,0.0,1.0,left
,,ak,1,2025-12-21,posner,2023.2.2,Win32,60.0240096,96.643,98.225,-0.388996387,0.006650544,1.0,0.0,0.0,0.567,target,98.225,99.224,0.0,8.0,8.0,12.0,1.0,-0.35,180.0,0.0,left
,,ak,1,2025-12-21,posner,2023.2.2,Win32,60.0240096,99.225,100.89,0.270737635,-0.01850059,1.0,0.0,0.0,0.649,target,100.891,101.89,0.0,9.0,9.0,13.0,1.0,0.35,0.0,0.0,right
,,ak,1,2025-12-21,posner,2023.2.2,Win32,60.0240096,101.89,103.807,0.42841602,0.013422015,1.0,0.0,0.0,0.917,target,103.808,104.807,0.0,10.0,10.0,5.0,1.0,0.35,180.0,1.0,right
,,ak,1,2025-12-21,posner,2023.2.2,Win32,60.0240096,104.808,106.29,-0.408343425,-0.014631204,1.0,0.0,0.0,0.466,target,106.29,107.29,0.0,11.0,11.0,6.0,1.0,-0.35,0.0,1.0,left
,,ak,1,2025-12-21,posner,2023.2.2,Win32,60.0240096,107.292,108.856,0.385852449,-0.051390568,1.0,0.0,0.0,0.549,target,108.856,109.857,0.0,12.0,12.0,7.0,1.0,0.35,180.0,1.0,right
,,ak,1,2025-12-21,posner,2023.2.2,Win32,60.0240096,109.858,111.622,0.350060459,-0.008827071,1.0,0.0,0.0,0.749,target,111.622,112.623,0.0,13.0,13.0,9.0,1.0,0.35,0.0,0.0,right
