instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns,finish.started,valid_av,invalid_av
0.0,8.315,alia,1,2025-12-20,posner,2023.2.2,MacIntel,100,,,,,,,,,,,,,,,,,,,,,,,
,,alia,1,2025-12-20,posner,2023.2.2,MacIntel,100,8.325,9.815,-0.317216981,-0.037735849,1.0,0.0,0.0,0.483,target,9.815,10.815,0.0,0.0,0.0,6.0,1.0,-0.35,0.0,1.0,left,,,
,,alia,1,2025-12-20,posner,2023.2.2,MacIntel,100,10.815,12.365,0.319575472,0.010613208,1.0,0.0,0.0,0.533,target,12.365,13.366,0.0,1.0,1.0,7.0,1.0,0.35,180.0,1.0,right,,,
,,alia,1,2025-12-20,posner,2023.2.2,MacIntel,100,13.366,14.816,-0.410377358,-0.023584906,1.0,0.0,0.0,0.434,target,14.816,15.815,0.0,2.0,2.0,0.0,1.0,-0.35,0.0,1.0,left,,,
,,alia,1,2025-12-20,posner,2023.2.2,MacIntel,100,15.815,17.265,0.376179245,0.002358491,1.0,0.0,0.0,0.45,target,17.265,18.264,0.0,3.0,3.0,1.0,1.0,0.35,180.0,1.0,right,,,
,,alia,1,2025-12-20,posner,2023.2.2,MacIntel,100,18.265,19.681,-0.291273585,0.02004717,1.0,0.0,0.0,0.399,target,19.681,20.682,0.0,4.0,4.0,2.0,1.0,-0.35,0.0,1.0,left,,,
,,alia,1,2025-12-20,posner,2023.2.2,MacIntel,100,20.682,22.115,0.284198113,0.015330189,1.0,0.0,0.0,0.433,target,22.115,23.115,0.0,5.0,5.0,3.0,1.0,0.35,180.0,1.0,right,,,
,,alia,1,2025-12-20,posner,2023.2.2,MacIntel,100,23.115,24.532,-0.271226415,0.010613208,1.0,0.0,0.0,0.417,target,24.532,25.531,0.0,6.0,6.0,4.0,1.0,-0.35,0.0,1.0,left,,,
,,alia,1,2025-12-20,posner,2023.2.2,MacIntel,100,25.531,27.065,0.353773585,0.047169811,1.0,0.0,0.0,0.532,target,27.065,28.065,0.0,7.0,7.0,13.0,1.0,0.35,0.0,0.0,right,,,
,,alia,1,2025-12-20,posner,2023.2.2,MacIntel,100,28.065,29.582,-0.378537736,-0.035377358,1.0,0.0,0.0,0.517,target,29.582,30.582,0.0,8.0,8.0,8.0,1.0,-0.35,180.0,0.0,left,,,
,,alia,1,2025-12-20,posner,2023.2.2,MacIntel,100,30.582,32.198,-0.373820755,-0.021226415,1.0,0.0,0.0,0.615,target,32.198,33.199,0.0,9.0,9.0,12.0,1.0,-0.35,180.0,0.0,left,,,
,,alia,1,2025-12-20,posner,2023.2.2,MacIntel,100,33.199,34.931,0.379716981,0.009433962,1.0,0.0,0.0,0.716,target,34.931,35.931,0.0,10.0,10.0,9.0,1.0,0.35,0.0,0.0,right,,,
,,alia,1,2025-12-20,posner,2023.2.2,MacIntel,100,35.931,37.415,-0.382075472,-0.035377358,1.0,0.0,0.0,0.484,target,37.415,38.415,0.0,11.0,11.0,10.0,1.0,-0.35,180.0,0.0,left,,,
,,alia,1,2025-12-20,posner,2023.2.2,MacIntel,100,38.416,39.931,0.285377358,-0.008254717,1.0,0.0,0.0,0.5,target,39.931,40.931,0.0,12.0,12.0,11.0,1.0,0.35,0.0,0.0,right,,,
,,alia,1,2025-12-20,posner,2023.2.2,MacIntel,100,40.931,42.398,0.346698113,0.058962264,1.0,0.0,0.0,0.466,target,42.398,43.399,0.0,13.0,13.0,5.0,1.0,0.35,180.0,1.0,right,,,
,,alia,1,2025-12-20,posner,2023.2.2,MacIntel,100,,,,,,,,,,,,,,,,,,,,,43.405,0.451875,0.560666667
