instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0001,51.7517,amaia,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,
,,amaia,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,51.7648,53.4018,0.436259098,0.03179857,1.0,0.0,0.0,0.6325,target,53.402,54.4023,0.0,0.0,0.0,9.0,1.0,0.35,0.0,0.0,right
,,amaia,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,54.4029,56.3529,-0.384460405,0.007625882,1.0,0.0,0.0,0.9331,target,56.3529,57.3533,0.0,1.0,1.0,8.0,1.0,-0.35,180.0,0.0,left
,,amaia,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,57.3537,58.9207,-0.417841718,-0.023453264,1.0,0.0,0.0,0.5667,target,58.9208,59.9209,0.0,2.0,2.0,10.0,1.0,-0.35,180.0,0.0,left
,,amaia,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,59.9214,61.8381,0.420143885,-0.007338138,1.0,0.0,0.0,0.8998,target,61.8381,62.8384,0.0,3.0,3.0,13.0,1.0,0.35,0.0,0.0,right
,,amaia,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,62.8386,64.6391,-0.417841718,0.019136673,1.0,0.0,0.0,0.8001,target,64.6391,65.6397,0.0,4.0,4.0,0.0,1.0,-0.35,0.0,1.0,left
,,amaia,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,65.64,67.4075,0.26359714,-0.013093534,1.0,0.0,0.0,0.767,target,67.4076,68.4077,0.0,5.0,5.0,1.0,1.0,0.35,180.0,1.0,right
,,amaia,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,68.4079,70.1085,0.28316545,0.00647482,1.0,0.0,0.0,0.6837,target,70.1086,71.1086,0.0,6.0,6.0,7.0,1.0,0.35,180.0,1.0,right
,,amaia,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,71.109,72.7257,-0.341870468,-0.007338138,1.0,0.0,0.0,0.5999,target,72.7258,73.7259,0.0,7.0,7.0,12.0,1.0,-0.35,180.0,0.0,left
,,amaia,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,73.7261,75.277,-0.344172679,-0.001582743,1.0,0.0,0.0,0.5504,target,75.2771,76.2773,0.0,8.0,8.0,4.0,1.0,-0.35,0.0,1.0,left
,,amaia,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,76.2778,78.3617,0.352230198,0.009928049,1.0,0.0,0.0,1.0668,target,78.3618,79.3615,0.0,9.0,9.0,11.0,1.0,0.35,0.0,0.0,right
,,amaia,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,79.3618,81.2626,0.366043201,-0.0084892,1.0,0.0,0.0,0.9001,target,81.2626,82.263,0.0,10.0,10.0,5.0,1.0,0.35,180.0,1.0,right
,,amaia,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,82.2633,84.03,-0.391366906,-0.00388491,1.0,0.0,0.0,0.75,target,84.0301,85.0305,0.0,11.0,11.0,2.0,1.0,-0.35,0.0,1.0,left
,,amaia,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,85.0309,86.6646,0.326906492,0.000719424,1.0,0.0,0.0,0.6332,target,86.6647,87.6648,0.0,12.0,12.0,3.0,1.0,0.35,180.0,1.0,right
,,amaia,1,2025-12-16,posner,2023.2.2,Win32,59.88023952,87.6652,89.5153,-0.321151097,-0.006187077,1.0,0.0,0.0,0.8332,target,89.5153,90.5162,0.0,13.0,13.0,6.0,1.0,-0.35,0.0,1.0,left
