instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0004,23150.1492,angela,1,2025-12-19,posner,2023.2.2,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,
,,angela,1,2025-12-19,posner,2023.2.2,MacIntel,58.82352941,23150.1611,23152.3823,-0.293441612,0.028140419,1.0,0.0,0.0,1.2157,target,23152.3828,23153.3825,0.0,0.0,0.0,2.0,1.0,-0.35,0.0,1.0,left
,,angela,1,2025-12-19,posner,2023.2.2,MacIntel,58.82352941,23153.3834,23155.2318,-0.308028372,0.002127878,1.0,0.0,0.0,0.8339,target,23155.2319,23156.2325,0.0,1.0,1.0,12.0,1.0,-0.35,180.0,0.0,left
,,angela,1,2025-12-19,posner,2023.2.2,MacIntel,58.82352941,23156.233,23157.7978,0.328669819,-0.008670847,1.0,0.0,0.0,0.549,target,23157.798,23158.7988,0.0,2.0,2.0,11.0,1.0,0.35,0.0,0.0,right
,,angela,1,2025-12-19,posner,2023.2.2,MacIntel,58.82352941,23158.7992,23160.4644,-0.305288857,-0.002590461,1.0,0.0,0.0,0.6489,target,23160.4644,23161.4655,0.0,3.0,3.0,10.0,1.0,-0.35,180.0,0.0,left
,,angela,1,2025-12-19,posner,2023.2.2,MacIntel,58.82352941,23161.466,23163.0652,0.341457648,0.007997533,1.0,0.0,0.0,0.5828,target,23163.0654,23164.0656,0.0,4.0,4.0,13.0,1.0,0.35,0.0,0.0,right
,,angela,1,2025-12-19,posner,2023.2.2,MacIntel,58.82352941,23164.0663,23165.414,0.341457648,0.007997533,1.0,0.0,0.0,0.332,target,23165.4141,23166.4157,0.0,5.0,5.0,9.0,1.0,0.35,0.0,0.0,right
,,angela,1,2025-12-19,posner,2023.2.2,MacIntel,58.82352941,23166.4163,23168.2319,-0.356378495,-0.029785156,1.0,0.0,0.0,0.7998,target,23168.2322,23169.2321,0.0,6.0,6.0,6.0,1.0,-0.35,0.0,1.0,left
,,angela,1,2025-12-19,posner,2023.2.2,MacIntel,58.82352941,23169.2326,23171.1149,0.368390214,0.022476357,1.0,0.0,0.0,0.8664,target,23171.1152,23172.115,0.0,7.0,7.0,5.0,1.0,0.35,180.0,1.0,right
,,angela,1,2025-12-19,posner,2023.2.2,MacIntel,58.82352941,23172.1153,23173.764,-0.423812706,0.015265214,1.0,0.0,0.0,0.6317,target,23173.7641,23174.7655,0.0,8.0,8.0,0.0,1.0,-0.35,0.0,1.0,left
,,angela,1,2025-12-19,posner,2023.2.2,MacIntel,58.82352941,23174.7661,23176.5152,0.342608964,-0.005802837,1.0,0.0,0.0,0.7329,target,23176.5154,23177.5156,0.0,9.0,9.0,7.0,1.0,0.35,180.0,1.0,right
,,angela,1,2025-12-19,posner,2023.2.2,MacIntel,58.82352941,23177.5161,23179.165,0.361800987,-0.002523643,1.0,0.0,0.0,0.6329,target,23179.1653,23180.1654,0.0,10.0,10.0,1.0,1.0,0.35,180.0,1.0,right
,,angela,1,2025-12-19,posner,2023.2.2,MacIntel,58.82352941,23180.1659,23181.7319,-0.309611431,-0.048067434,1.0,0.0,0.0,0.5501,target,23181.732,23182.7322,0.0,11.0,11.0,4.0,1.0,-0.35,0.0,1.0,left
,,angela,1,2025-12-19,posner,2023.2.2,MacIntel,58.82352941,23182.733,23184.3316,-0.330319696,0.029440789,1.0,0.0,0.0,0.5835,target,23184.3317,23185.3322,0.0,12.0,12.0,8.0,1.0,-0.35,180.0,0.0,left
,,angela,1,2025-12-19,posner,2023.2.2,MacIntel,58.82352941,23185.3327,23186.7817,0.271268503,-0.005890214,1.0,0.0,0.0,0.4329,target,23186.782,23187.782,0.0,13.0,13.0,3.0,1.0,0.35,180.0,1.0,right
