instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.001,10.585,annina,1,2025-12-19,posner,2023.2.2,MacIntel,27.77777778,,,,,,,,,,,,,,,,,,,,
,,annina,1,2025-12-19,posner,2023.2.2,MacIntel,27.77777778,10.596,12.416,0.424033149,0.020718232,1.0,0.0,0.0,0.8,target,12.417,13.415,0.0,0.0,0.0,5.0,1.0,0.35,180.0,1.0,right
,,annina,1,2025-12-19,posner,2023.2.2,MacIntel,27.77777778,13.416,15.581,-0.361878453,-0.011049724,1.0,0.0,0.0,1.132,target,15.581,16.58,0.0,1.0,1.0,8.0,1.0,-0.35,180.0,0.0,left
,,annina,1,2025-12-19,posner,2023.2.2,MacIntel,27.77777778,16.58,18.679,0.30801105,-0.031767956,1.0,0.0,0.0,1.067,target,18.679,19.677,0.0,2.0,2.0,11.0,1.0,0.35,0.0,0.0,right
,,annina,1,2025-12-19,posner,2023.2.2,MacIntel,27.77777778,19.678,21.344,-0.348066298,-0.011049724,1.0,0.0,0.0,0.632,target,21.344,22.343,0.0,3.0,3.0,6.0,1.0,-0.35,0.0,1.0,left
,,annina,1,2025-12-19,posner,2023.2.2,MacIntel,27.77777778,22.343,23.974,0.393646409,0.034530387,1.0,0.0,0.0,0.598,target,23.974,24.974,0.0,4.0,4.0,9.0,1.0,0.35,0.0,0.0,right
,,annina,1,2025-12-19,posner,2023.2.2,MacIntel,27.77777778,24.974,26.707,0.314917127,0.0,1.0,0.0,0.0,0.7,target,26.707,27.706,0.0,5.0,5.0,1.0,1.0,0.35,180.0,1.0,right
,,annina,1,2025-12-19,posner,2023.2.2,MacIntel,27.77777778,27.706,29.337,-0.33839779,0.035911602,1.0,0.0,0.0,0.599,target,29.337,30.338,0.0,6.0,6.0,4.0,1.0,-0.35,0.0,1.0,left
,,annina,1,2025-12-19,posner,2023.2.2,MacIntel,27.77777778,30.338,32.006,0.372928177,-0.023480663,1.0,0.0,0.0,0.636,target,32.006,33.002,0.0,7.0,7.0,3.0,1.0,0.35,180.0,1.0,right
,,annina,1,2025-12-19,posner,2023.2.2,MacIntel,27.77777778,33.002,34.834,0.303867403,-0.012430939,1.0,0.0,0.0,0.831,target,34.834,35.835,0.0,8.0,8.0,7.0,1.0,0.35,180.0,1.0,right
,,annina,1,2025-12-19,posner,2023.2.2,MacIntel,27.77777778,35.835,37.566,-0.372928177,-0.011049724,1.0,0.0,0.0,0.699,target,37.566,38.565,0.0,9.0,9.0,10.0,1.0,-0.35,180.0,0.0,left
,,annina,1,2025-12-19,posner,2023.2.2,MacIntel,27.77777778,38.566,40.312,-0.364640884,-0.020718232,1.0,0.0,0.0,0.714,target,40.312,41.305,0.0,10.0,10.0,0.0,1.0,-0.35,0.0,1.0,left
,,annina,1,2025-12-19,posner,2023.2.2,MacIntel,27.77777778,41.306,43.163,-0.299723757,0.004143646,1.0,0.0,0.0,0.833,target,43.163,44.162,0.0,11.0,11.0,12.0,1.0,-0.35,180.0,0.0,left
,,annina,1,2025-12-19,posner,2023.2.2,MacIntel,27.77777778,44.162,45.86,0.324585635,0.0,1.0,0.0,0.0,0.666,target,45.86,46.86,0.0,12.0,12.0,13.0,1.0,0.35,0.0,0.0,right
,,annina,1,2025-12-19,posner,2023.2.2,MacIntel,27.77777778,46.86,48.625,-0.317679558,0.002762431,1.0,0.0,0.0,0.733,target,48.626,49.624,0.0,13.0,13.0,2.0,1.0,-0.35,0.0,1.0,left
