instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0003,1.6647,antonia,1,2025-12-17,posner,2023.2.2,Win32,57.80346821,,,,,,,,,,,,,,,,,,,,
,,antonia,1,2025-12-17,posner,2023.2.2,Win32,57.80346821,1.6689,3.2293,-0.41511384,-0.01242236,1.0,0.0,0.0,0.5485,target,3.2294,4.2285,0.0,0.0,0.0,6.0,1.0,-0.35,0.0,1.0,left
,,antonia,1,2025-12-17,posner,2023.2.2,Win32,57.80346821,4.2291,5.78,0.417184297,0.011387132,1.0,0.0,0.0,0.535,target,5.7801,6.7785,0.0,1.0,1.0,5.0,1.0,0.35,180.0,1.0,right
,,antonia,1,2025-12-17,posner,2023.2.2,Win32,57.80346821,6.779,8.3464,-0.276397516,0.001035181,1.0,0.0,0.0,0.566,target,8.3465,9.3469,0.0,2.0,2.0,0.0,1.0,-0.35,0.0,1.0,left
,,antonia,1,2025-12-17,posner,2023.2.2,Win32,57.80346821,9.3474,10.8786,0.327122185,0.019668721,1.0,0.0,0.0,0.5164,target,10.8787,11.8794,0.0,3.0,3.0,1.0,1.0,0.35,180.0,1.0,right
,,antonia,1,2025-12-17,posner,2023.2.2,Win32,57.80346821,11.8799,13.6116,0.303312693,-0.001035228,1.0,0.0,0.0,0.7172,target,13.6117,14.6111,0.0,4.0,4.0,9.0,1.0,0.35,0.0,0.0,right
,,antonia,1,2025-12-17,posner,2023.2.2,Win32,57.80346821,14.6115,16.2638,0.321946233,0.001035181,1.0,0.0,0.0,0.6515,target,16.2639,17.2614,0.0,5.0,5.0,7.0,1.0,0.35,180.0,1.0,right
,,antonia,1,2025-12-17,posner,2023.2.2,Win32,57.80346821,17.2619,18.8952,0.353002134,-0.005175999,1.0,0.0,0.0,0.6177,target,18.8953,19.8943,0.0,6.0,6.0,11.0,1.0,0.35,0.0,0.0,right
,,antonia,1,2025-12-17,posner,2023.2.2,Win32,57.80346821,19.8948,21.4772,-0.298136646,0.010351951,1.0,0.0,0.0,0.5819,target,21.4773,22.477,0.0,7.0,7.0,4.0,1.0,-0.35,0.0,1.0,left
,,antonia,1,2025-12-17,posner,2023.2.2,Win32,57.80346821,22.4774,24.1955,-0.286749467,0.005175952,1.0,0.0,0.0,0.7014,target,24.1955,25.1943,0.0,8.0,8.0,10.0,1.0,-0.35,180.0,0.0,left
,,antonia,1,2025-12-17,posner,2023.2.2,Win32,57.80346821,25.1946,26.7956,-0.406832298,0.001035181,1.0,0.0,0.0,0.5851,target,26.7956,27.7944,0.0,9.0,9.0,8.0,1.0,-0.35,180.0,0.0,left
,,antonia,1,2025-12-17,posner,2023.2.2,Win32,57.80346821,27.7949,29.4111,-0.366459627,-0.008281589,1.0,0.0,0.0,0.6011,target,29.4111,30.4119,0.0,10.0,10.0,12.0,1.0,-0.35,180.0,0.0,left
,,antonia,1,2025-12-17,posner,2023.2.2,Win32,57.80346821,30.4123,32.0628,0.360248447,0.008281542,1.0,0.0,0.0,0.634,target,32.0629,33.062,0.0,11.0,11.0,13.0,1.0,0.35,0.0,0.0,right
,,antonia,1,2025-12-17,posner,2023.2.2,Win32,57.80346821,33.0623,34.6287,0.421325115,0.00310559,1.0,0.0,0.0,0.5508,target,34.6288,35.6268,0.0,12.0,12.0,3.0,1.0,0.35,180.0,1.0,right
,,antonia,1,2025-12-17,posner,2023.2.2,Win32,57.80346821,35.6273,37.0928,-0.426501019,0.001035181,1.0,0.0,0.0,0.4478,target,37.0929,38.0932,0.0,13.0,13.0,2.0,1.0,-0.35,0.0,1.0,left
