instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0002,14.388,ar,1,2025-12-19,posner,2023.2.2,Win32,58.13953488,,,,,,,,,,,,,,,,,,,,
,,ar,1,2025-12-19,posner,2023.2.2,Win32,58.13953488,14.3928,16.5234,-0.398550709,0.010351951,1.0,0.0,0.0,1.1165,target,16.5236,17.5214,0.0,0.0,0.0,4.0,1.0,-0.35,0.0,1.0,left
,,ar,1,2025-12-19,posner,2023.2.2,Win32,58.13953488,17.522,19.5038,0.383022806,0.011387132,1.0,0.0,0.0,0.9654,target,19.5038,20.5038,0.0,1.0,1.0,7.0,1.0,0.35,180.0,1.0,right
,,ar,1,2025-12-19,posner,2023.2.2,Win32,58.13953488,20.5044,22.2037,0.336438955,-0.00621118,1.0,0.0,0.0,0.682,target,22.2039,23.2048,0.0,2.0,2.0,5.0,1.0,0.35,180.0,1.0,right
,,ar,1,2025-12-19,posner,2023.2.2,Win32,58.13953488,23.2053,24.9036,-0.347826087,-0.007246408,1.0,0.0,0.0,0.6829,target,24.9036,25.9038,0.0,3.0,3.0,12.0,1.0,-0.35,180.0,0.0,left
,,ar,1,2025-12-19,posner,2023.2.2,Win32,58.13953488,25.9042,27.5727,-0.291925466,0.001035181,1.0,0.0,0.0,0.6515,target,27.5728,28.5701,0.0,4.0,4.0,6.0,1.0,-0.35,0.0,1.0,left
,,ar,1,2025-12-19,posner,2023.2.2,Win32,58.13953488,28.5704,30.2537,0.371635674,0.02173913,1.0,0.0,0.0,0.6667,target,30.2539,31.2535,0.0,5.0,5.0,9.0,1.0,0.35,0.0,0.0,right
,,ar,1,2025-12-19,posner,2023.2.2,Win32,58.13953488,31.2539,32.9052,-0.344720497,-0.013457589,1.0,0.0,0.0,0.6505,target,32.9052,33.9043,0.0,6.0,6.0,8.0,1.0,-0.35,180.0,0.0,left
,,ar,1,2025-12-19,posner,2023.2.2,Win32,58.13953488,33.9046,35.5722,0.304347826,-0.00621118,1.0,0.0,0.0,0.6518,target,35.5722,36.57,0.0,7.0,7.0,1.0,1.0,0.35,180.0,1.0,right
,,ar,1,2025-12-19,posner,2023.2.2,Win32,58.13953488,36.5703,38.2527,-0.378881988,-0.00621118,1.0,0.0,0.0,0.6647,target,38.2528,39.254,0.0,8.0,8.0,10.0,1.0,-0.35,180.0,0.0,left
,,ar,1,2025-12-19,posner,2023.2.2,Win32,58.13953488,39.2543,40.8544,-0.375776398,-0.011387179,1.0,0.0,0.0,0.5844,target,40.8545,41.8536,0.0,9.0,9.0,0.0,1.0,-0.35,0.0,1.0,left
,,ar,1,2025-12-19,posner,2023.2.2,Win32,58.13953488,41.854,43.438,0.423395477,-0.025879949,1.0,0.0,0.0,0.5835,target,43.4381,44.4376,0.0,10.0,10.0,3.0,1.0,0.35,180.0,1.0,right
,,ar,1,2025-12-19,posner,2023.2.2,Win32,58.13953488,44.438,46.1707,0.325051823,0.001035181,1.0,0.0,0.0,0.7183,target,46.1708,47.1694,0.0,11.0,11.0,13.0,1.0,0.35,0.0,0.0,right
,,ar,1,2025-12-19,posner,2023.2.2,Win32,58.13953488,47.1696,48.7857,0.337474183,0.008281542,1.0,0.0,0.0,0.6151,target,48.7857,49.7873,0.0,12.0,12.0,11.0,1.0,0.35,0.0,0.0,right
,,ar,1,2025-12-19,posner,2023.2.2,Win32,58.13953488,49.7877,51.3707,-0.335403727,0.019668721,1.0,0.0,0.0,0.5682,target,51.3707,52.3695,0.0,13.0,13.0,2.0,1.0,-0.35,0.0,1.0,left
