instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0,6.225,arek,1,2025-12-22,posner,2023.2.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,
,,arek,1,2025-12-22,posner,2023.2.2,Win32,60.0240096,6.226,8.108,0.377297231,-0.0318919,1.0,0.0,0.0,0.866,target,8.108,9.109,0.0,0.0,0.0,9.0,1.0,0.35,0.0,0.0,right
,,arek,1,2025-12-22,posner,2023.2.2,Win32,60.0240096,9.11,11.025,-0.378918911,0.001621638,1.0,0.0,0.0,0.9,target,11.025,12.025,0.0,1.0,1.0,2.0,1.0,-0.35,0.0,1.0,left
,,arek,1,2025-12-22,posner,2023.2.2,Win32,60.0240096,12.026,13.841,0.297837871,-0.023783792,1.0,0.0,0.0,0.799,target,13.841,14.841,0.0,2.0,2.0,1.0,1.0,0.35,180.0,1.0,right
,,arek,1,2025-12-22,posner,2023.2.2,Win32,60.0240096,14.842,16.792,0.362162162,0.013513514,1.0,0.0,0.0,0.934,target,16.792,17.792,0.0,3.0,3.0,11.0,1.0,0.35,0.0,0.0,right
,,arek,1,2025-12-22,posner,2023.2.2,Win32,60.0240096,17.792,23.559,-0.316216216,0.011351343,1.0,0.0,0.0,4.767,target,23.559,24.558,0.0,4.0,4.0,8.0,1.0,-0.35,180.0,0.0,left
,,arek,1,2025-12-22,posner,2023.2.2,Win32,60.0240096,24.559,26.426,-0.408108108,-0.004324341,1.0,0.0,0.0,0.851,target,26.426,27.426,0.0,5.0,5.0,4.0,1.0,-0.35,0.0,1.0,left
,,arek,1,2025-12-22,posner,2023.2.2,Win32,60.0240096,27.426,29.093,0.318918919,0.0,1.0,0.0,0.0,0.667,target,29.093,30.093,0.0,6.0,6.0,13.0,1.0,0.35,0.0,0.0,right
,,arek,1,2025-12-22,posner,2023.2.2,Win32,60.0240096,30.094,31.759,0.449729796,-0.007567576,1.0,0.0,0.0,0.65,target,31.759,32.759,0.0,7.0,7.0,3.0,1.0,0.35,180.0,1.0,right
,,arek,1,2025-12-22,posner,2023.2.2,Win32,60.0240096,32.76,34.593,0.317837854,-0.010270279,1.0,0.0,0.0,0.817,target,34.593,35.593,0.0,8.0,8.0,7.0,1.0,0.35,180.0,1.0,right
,,arek,1,2025-12-22,posner,2023.2.2,Win32,60.0240096,35.594,37.426,-0.348108116,0.002702703,1.0,0.0,0.0,0.816,target,37.426,38.426,0.0,9.0,9.0,0.0,1.0,-0.35,0.0,1.0,left
,,arek,1,2025-12-22,posner,2023.2.2,Win32,60.0240096,38.426,40.059,-0.2637838,0.000540532,1.0,0.0,0.0,0.632,target,40.059,41.059,0.0,10.0,10.0,6.0,1.0,-0.35,0.0,1.0,left
,,arek,1,2025-12-22,posner,2023.2.2,Win32,60.0240096,41.06,42.696,-0.347567584,-0.001621638,1.0,0.0,0.0,0.619,target,42.696,43.693,0.0,11.0,11.0,10.0,1.0,-0.35,180.0,0.0,left
,,arek,1,2025-12-22,posner,2023.2.2,Win32,60.0240096,43.694,45.377,-0.302702703,0.016216216,1.0,0.0,0.0,0.667,target,45.377,46.377,0.0,12.0,12.0,12.0,1.0,-0.35,180.0,0.0,left
,,arek,1,2025-12-22,posner,2023.2.2,Win32,60.0240096,46.377,48.344,0.291351318,0.001081065,1.0,0.0,0.0,0.951,target,48.344,49.343,0.0,13.0,13.0,5.0,1.0,0.35,180.0,1.0,right
