instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0003,9.2576,as,1,2025-12-20,posner,2023.2.2,Win32,123.4567901,,,,,,,,,,,,,,,,,,,,
,,as,1,2025-12-20,posner,2023.2.2,Win32,123.4567901,9.2631,10.6328,0.419947552,0.015935462,1.0,0.0,0.0,0.3667,target,10.6329,11.6209,0.0,0.0,0.0,3.0,1.0,0.35,180.0,1.0,right
,,as,1,2025-12-20,posner,2023.2.2,Win32,123.4567901,11.6221,12.9195,0.399700083,-0.004312007,1.0,0.0,0.0,0.2848,target,12.9196,13.9183,0.0,1.0,1.0,5.0,1.0,0.35,180.0,1.0,right
,,as,1,2025-12-20,posner,2023.2.2,Win32,123.4567901,13.9194,15.2018,-0.42519685,-0.006561726,1.0,0.0,0.0,0.2811,target,15.2019,16.1896,0.0,2.0,2.0,6.0,1.0,-0.35,0.0,1.0,left
,,as,1,2025-12-20,posner,2023.2.2,Win32,123.4567901,16.1906,17.5193,0.394450785,-0.002062288,1.0,0.0,0.0,0.3267,target,17.5195,18.5156,0.0,3.0,3.0,9.0,1.0,0.35,0.0,0.0,right
,,as,1,2025-12-20,posner,2023.2.2,Win32,123.4567901,18.516,19.8323,0.393700787,-0.005061867,1.0,0.0,0.0,0.3149,target,19.8324,20.8343,0.0,4.0,4.0,13.0,1.0,0.35,0.0,0.0,right
,,as,1,2025-12-20,posner,2023.2.2,Win32,123.4567901,20.8349,21.8685,0.414698254,-0.012560953,1.0,0.0,0.0,0.0127,target,21.8685,22.8571,0.0,5.0,5.0,1.0,1.0,0.35,180.0,1.0,right
,,as,1,2025-12-20,posner,2023.2.2,Win32,123.4567901,22.8576,24.0736,-0.384701912,0.00093736,1.0,0.0,0.0,0.2154,target,24.0737,25.0748,0.0,6.0,6.0,4.0,1.0,-0.35,0.0,1.0,left
,,as,1,2025-12-20,posner,2023.2.2,Win32,123.4567901,25.0757,26.2568,0.42519685,-0.011811024,1.0,0.0,0.0,0.1635,target,26.2572,27.2575,0.0,7.0,7.0,7.0,1.0,0.35,180.0,1.0,right
,,as,1,2025-12-20,posner,2023.2.2,Win32,123.4567901,27.2585,28.5261,-0.379452546,-0.002812148,1.0,0.0,0.0,0.2513,target,28.5261,29.5269,0.0,8.0,8.0,0.0,1.0,-0.35,0.0,1.0,left
,,as,1,2025-12-20,posner,2023.2.2,Win32,123.4567901,29.5284,30.8294,-0.382452193,-0.00056243,1.0,0.0,0.0,0.2885,target,30.8295,31.8281,0.0,9.0,9.0,2.0,1.0,-0.35,0.0,1.0,left
,,as,1,2025-12-20,posner,2023.2.2,Win32,123.4567901,31.8289,33.2927,-0.374203213,-0.020060038,1.0,0.0,0.0,0.4523,target,33.2928,34.2931,0.0,10.0,10.0,10.0,1.0,-0.35,180.0,0.0,left
,,as,1,2025-12-20,posner,2023.2.2,Win32,123.4567901,34.2941,35.6443,0.426696709,-0.003562078,1.0,0.0,0.0,0.3345,target,35.6443,36.6345,0.0,11.0,11.0,11.0,1.0,0.35,0.0,0.0,right
,,as,1,2025-12-20,posner,2023.2.2,Win32,123.4567901,36.6364,37.9816,-0.358455182,-0.015560601,1.0,0.0,0.0,0.3284,target,37.9818,38.9742,0.0,12.0,12.0,12.0,1.0,-0.35,180.0,0.0,left
,,as,1,2025-12-20,posner,2023.2.2,Win32,123.4567901,38.9757,40.3233,-0.373453318,-0.015560601,1.0,0.0,0.0,0.3304,target,40.3233,41.3157,0.0,13.0,13.0,8.0,1.0,-0.35,180.0,0.0,left
