instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.001,1.142,asumi,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,
,,asumi,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,1.15,2.744,-0.288051209,0.019203414,1.0,0.0,0.0,0.583,target,2.747,3.749,0.0,0.0,0.0,2.0,1.0,-0.35,0.0,1.0,left
,,asumi,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,3.75,5.361,-0.30512091,0.014935989,1.0,0.0,0.0,0.601,target,5.364,6.361,0.0,1.0,1.0,0.0,1.0,-0.35,0.0,1.0,left
,,asumi,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,6.365,8.076,-0.312233286,0.016358464,1.0,0.0,0.0,0.702,target,8.077,9.076,0.0,2.0,2.0,4.0,1.0,-0.35,0.0,1.0,left
,,asumi,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,9.077,10.693,0.349217639,0.026315789,1.0,0.0,0.0,0.6,target,10.695,11.694,0.0,3.0,3.0,5.0,1.0,0.35,180.0,1.0,right
,,asumi,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,11.696,13.315,0.401849218,0.013513514,1.0,0.0,0.0,0.605,target,13.316,14.311,0.0,4.0,4.0,3.0,1.0,0.35,180.0,1.0,right
,,asumi,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,14.313,15.994,0.380512091,0.009246088,1.0,0.0,0.0,0.667,target,15.995,16.993,0.0,5.0,5.0,1.0,1.0,0.35,180.0,1.0,right
,,asumi,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,16.995,18.759,0.370554765,-0.000711238,1.0,0.0,0.0,0.75,target,18.76,19.762,0.0,6.0,6.0,9.0,1.0,0.35,0.0,0.0,right
,,asumi,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,19.765,21.509,0.337837838,0.006401138,1.0,0.0,0.0,0.734,target,21.51,22.51,0.0,7.0,7.0,13.0,1.0,0.35,0.0,0.0,right
,,asumi,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,22.511,24.243,-0.337837838,0.03200569,1.0,0.0,0.0,0.715,target,24.244,25.244,0.0,8.0,8.0,6.0,1.0,-0.35,0.0,1.0,left
,,asumi,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,25.248,26.892,-0.383357041,-0.000711238,1.0,0.0,0.0,0.632,target,26.893,27.893,0.0,9.0,9.0,8.0,1.0,-0.35,180.0,0.0,left
,,asumi,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,27.894,29.576,0.332147937,0.03485064,1.0,0.0,0.0,0.665,target,29.577,30.577,0.0,10.0,10.0,7.0,1.0,0.35,180.0,1.0,right
,,asumi,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,30.579,32.244,-0.364864865,0.010668563,1.0,0.0,0.0,0.651,target,32.246,33.243,0.0,11.0,11.0,10.0,1.0,-0.35,180.0,0.0,left
,,asumi,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,33.245,34.993,-0.410384068,-0.040540541,1.0,0.0,0.0,0.734,target,34.994,35.994,0.0,12.0,12.0,12.0,1.0,-0.35,180.0,0.0,left
,,asumi,1,2025-12-16,posner,2023.2.2,MacIntel,58.82352941,35.999,37.627,0.343527738,0.020625889,1.0,0.0,0.0,0.617,target,37.628,38.627,0.0,13.0,13.0,11.0,1.0,0.35,0.0,0.0,right
