instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0003,5.0634,ayla,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,
,,ayla,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,5.0704,9.3633,0.295028112,-0.011789575,1.0,0.0,0.0,3.2824,target,9.3635,10.3635,0.0,0.0,0.0,9.0,1.0,0.35,0.0,0.0,right
,,ayla,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,10.3644,12.0293,-0.385166056,-0.042783516,1.0,0.0,0.0,0.6492,target,12.0294,13.0298,0.0,1.0,1.0,12.0,1.0,-0.35,180.0,0.0,left
,,ayla,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,13.0306,14.6468,0.332570607,0.055101552,1.0,0.0,0.0,0.6003,target,14.647,15.646,0.0,2.0,2.0,13.0,1.0,0.35,0.0,0.0,right
,,ayla,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,15.6469,17.4462,-0.369606433,-0.018577842,1.0,0.0,0.0,0.7826,target,17.4465,18.4461,0.0,3.0,3.0,10.0,1.0,-0.35,180.0,0.0,left
,,ayla,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,18.4463,20.129,0.316842094,0.026510199,1.0,0.0,0.0,0.6821,target,20.1292,21.1302,0.0,4.0,4.0,3.0,1.0,0.35,180.0,1.0,right
,,ayla,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,21.1308,22.879,0.285548509,0.052933229,1.0,0.0,0.0,0.7326,target,22.8791,23.88,0.0,5.0,5.0,11.0,1.0,0.35,0.0,0.0,right
,,ayla,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,23.8807,25.5128,0.365291579,0.003535783,1.0,0.0,0.0,0.6163,target,25.513,26.5132,0.0,6.0,6.0,7.0,1.0,0.35,180.0,1.0,right
,,ayla,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,26.5147,28.1307,-0.418780509,0.004456503,1.0,0.0,0.0,0.5999,target,28.131,29.1297,0.0,7.0,7.0,2.0,1.0,-0.35,0.0,1.0,left
,,ayla,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,29.1306,30.8462,-0.289198701,-0.012955457,1.0,0.0,0.0,0.6998,target,30.8464,31.8468,0.0,8.0,8.0,8.0,1.0,-0.35,180.0,0.0,left
,,ayla,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,31.8474,33.4467,0.389143131,-0.007583682,1.0,0.0,0.0,0.5832,target,33.4469,34.4469,0.0,9.0,9.0,1.0,1.0,0.35,180.0,1.0,right
,,ayla,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,34.4475,35.9798,-0.325281119,-0.009321609,1.0,0.0,0.0,0.5164,target,35.9799,36.9798,0.0,10.0,10.0,0.0,1.0,-0.35,0.0,1.0,left
,,ayla,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,36.9803,38.5966,-0.293448178,0.001977641,1.0,0.0,0.0,0.5998,target,38.5968,39.5973,0.0,11.0,11.0,4.0,1.0,-0.35,0.0,1.0,left
,,ayla,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,39.5979,41.1792,0.336378792,0.02254402,1.0,0.0,0.0,0.5657,target,41.1793,42.1791,0.0,12.0,12.0,5.0,1.0,0.35,180.0,1.0,right
,,ayla,1,2025-12-19,posner,2023.2.2,MacIntel,59.88023952,42.1796,43.5968,-0.321919674,-0.016850811,1.0,0.0,0.0,0.4165,target,43.5969,44.5969,0.0,13.0,13.0,6.0,1.0,-0.35,0.0,1.0,left
