instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0003,3.6479,azra,1,2025-12-18,posner,2023.2.2,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,
,,azra,1,2025-12-18,posner,2023.2.2,MacIntel,63.69426752,3.6523,5.2821,-0.307230558,-0.026478828,1.0,0.0,0.0,0.6162,target,5.2825,6.2817,0.0,0.0,0.0,6.0,1.0,-0.35,0.0,1.0,left
,,azra,1,2025-12-18,posner,2023.2.2,MacIntel,63.69426752,6.2825,7.7645,0.4325267,0.059877031,1.0,0.0,0.0,0.4664,target,7.7648,8.7649,0.0,1.0,1.0,13.0,1.0,0.35,0.0,0.0,right
,,azra,1,2025-12-18,posner,2023.2.2,MacIntel,63.69426752,8.7655,10.148,0.336073819,0.025148541,1.0,0.0,0.0,0.3668,target,10.1483,11.1479,0.0,2.0,2.0,1.0,1.0,0.35,180.0,1.0,right
,,azra,1,2025-12-18,posner,2023.2.2,MacIntel,63.69426752,11.1485,12.5313,-0.423755265,0.011817464,1.0,0.0,0.0,0.3664,target,12.5315,13.5312,0.0,3.0,3.0,2.0,1.0,-0.35,0.0,1.0,left
,,azra,1,2025-12-18,posner,2023.2.2,MacIntel,63.69426752,13.5316,14.8648,0.268116351,-0.010054716,1.0,0.0,0.0,0.317,target,14.865,15.8647,0.0,4.0,4.0,7.0,1.0,0.35,180.0,1.0,right
,,azra,1,2025-12-18,posner,2023.2.2,MacIntel,63.69426752,15.8653,17.2312,0.256764252,0.0163348,1.0,0.0,0.0,0.3497,target,17.2315,18.2316,0.0,5.0,5.0,5.0,1.0,0.35,180.0,1.0,right
,,azra,1,2025-12-18,posner,2023.2.2,MacIntel,63.69426752,18.232,19.5815,-0.29801256,0.014026775,1.0,0.0,0.0,0.3334,target,19.5817,20.5817,0.0,6.0,6.0,12.0,1.0,-0.35,180.0,0.0,left
,,azra,1,2025-12-18,posner,2023.2.2,MacIntel,63.69426752,20.5821,22.448,0.29886338,-0.014412229,1.0,0.0,0.0,0.85,target,22.4482,23.4482,0.0,7.0,7.0,3.0,1.0,0.35,180.0,1.0,right
,,azra,1,2025-12-18,posner,2023.2.2,MacIntel,63.69426752,23.4486,24.8479,0.290660725,0.017580475,1.0,0.0,0.0,0.3831,target,24.8482,25.8482,0.0,8.0,8.0,11.0,1.0,0.35,0.0,0.0,right
,,azra,1,2025-12-18,posner,2023.2.2,MacIntel,63.69426752,25.8488,27.2145,-0.293523428,-0.041375226,1.0,0.0,0.0,0.3498,target,27.2147,28.2147,0.0,9.0,9.0,8.0,1.0,-0.35,180.0,0.0,left
,,azra,1,2025-12-18,posner,2023.2.2,MacIntel,63.69426752,28.2153,29.597,-0.37634909,0.004413921,1.0,0.0,0.0,0.3655,target,29.5973,30.5986,0.0,10.0,10.0,10.0,1.0,-0.35,180.0,0.0,left
,,azra,1,2025-12-18,posner,2023.2.2,MacIntel,63.69426752,30.5991,32.3308,0.297448481,-0.032824722,1.0,0.0,0.0,0.716,target,32.3309,33.3316,0.0,11.0,11.0,9.0,1.0,0.35,0.0,0.0,right
,,azra,1,2025-12-18,posner,2023.2.2,MacIntel,63.69426752,33.332,35.0144,-0.257821901,-0.025153242,1.0,0.0,0.0,0.6664,target,35.0146,36.0147,0.0,12.0,12.0,0.0,1.0,-0.35,0.0,1.0,left
,,azra,1,2025-12-18,posner,2023.2.2,MacIntel,63.69426752,36.0152,37.3145,-0.250949534,-0.015333559,1.0,0.0,0.0,0.2837,target,37.3148,38.3149,0.0,13.0,13.0,4.0,1.0,-0.35,0.0,1.0,left
