instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.001,3.862,bianca,1,2025-12-14,posner,2023.2.2,MacIntel,7.352941176,,,,,,,,,,,,,,,,,,,,
,,bianca,1,2025-12-14,posner,2023.2.2,MacIntel,7.352941176,3.872,6.932,0.383254717,-0.044811321,1.0,0.0,0.0,2.035,target,6.932,7.931,0.0,0.0,0.0,1.0,1.0,0.35,180.0,1.0,right
,,bianca,1,2025-12-14,posner,2023.2.2,MacIntel,7.352941176,7.932,9.665,0.304245283,0.009433962,1.0,0.0,0.0,0.7,target,9.665,10.664,0.0,1.0,1.0,7.0,1.0,0.35,180.0,1.0,right
,,bianca,1,2025-12-14,posner,2023.2.2,MacIntel,7.352941176,10.665,12.331,-0.320754717,-0.068396226,1.0,0.0,0.0,0.634,target,12.332,13.331,0.0,2.0,2.0,6.0,1.0,-0.35,0.0,1.0,left
,,bianca,1,2025-12-14,posner,2023.2.2,MacIntel,7.352941176,13.331,15.132,-0.424528302,0.0,1.0,0.0,0.0,0.767,target,15.132,16.131,0.0,3.0,3.0,12.0,1.0,-0.35,180.0,0.0,left
,,bianca,1,2025-12-14,posner,2023.2.2,MacIntel,7.352941176,16.131,17.664,0.383254717,-0.008254717,1.0,0.0,0.0,0.5,target,17.664,18.664,0.0,4.0,4.0,3.0,1.0,0.35,180.0,1.0,right
,,bianca,1,2025-12-14,posner,2023.2.2,MacIntel,7.352941176,18.664,20.231,0.3125,-0.008254717,1.0,0.0,0.0,0.566,target,20.232,21.231,0.0,5.0,5.0,11.0,1.0,0.35,0.0,0.0,right
,,bianca,1,2025-12-14,posner,2023.2.2,MacIntel,7.352941176,21.231,22.831,-0.313679245,0.008254717,1.0,0.0,0.0,0.6,target,22.831,23.83,0.0,6.0,6.0,0.0,1.0,-0.35,0.0,1.0,left
,,bianca,1,2025-12-14,posner,2023.2.2,MacIntel,7.352941176,23.831,25.597,-0.372641509,-0.025943396,1.0,0.0,0.0,0.733,target,25.597,26.597,0.0,7.0,7.0,4.0,1.0,-0.35,0.0,1.0,left
,,bianca,1,2025-12-14,posner,2023.2.2,MacIntel,7.352941176,26.597,29.464,-0.378537736,0.033018868,1.0,0.0,0.0,1.867,target,29.464,30.464,0.0,8.0,8.0,2.0,1.0,-0.35,0.0,1.0,left
,,bianca,1,2025-12-14,posner,2023.2.2,MacIntel,7.352941176,30.464,32.031,0.33254717,-0.003537736,1.0,0.0,0.0,0.566,target,32.031,33.03,0.0,9.0,9.0,5.0,1.0,0.35,180.0,1.0,right
,,bianca,1,2025-12-14,posner,2023.2.2,MacIntel,7.352941176,33.031,34.597,0.330188679,-0.009433962,1.0,0.0,0.0,0.566,target,34.597,35.598,0.0,10.0,10.0,9.0,1.0,0.35,0.0,0.0,right
,,bianca,1,2025-12-14,posner,2023.2.2,MacIntel,7.352941176,35.598,37.231,0.33490566,-0.018867925,1.0,0.0,0.0,0.6,target,37.231,38.231,0.0,11.0,11.0,13.0,1.0,0.35,0.0,0.0,right
,,bianca,1,2025-12-14,posner,2023.2.2,MacIntel,7.352941176,38.231,40.23,-0.330188679,-0.003537736,1.0,0.0,0.0,0.999,target,40.231,41.231,0.0,12.0,12.0,10.0,1.0,-0.35,180.0,0.0,left
,,bianca,1,2025-12-14,posner,2023.2.2,MacIntel,7.352941176,41.231,42.898,-0.319575472,0.0,1.0,0.0,0.0,0.634,target,42.898,43.897,0.0,13.0,13.0,8.0,1.0,-0.35,180.0,0.0,left
