instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns,finish.started,valid_av,invalid_av
0.001,18.081,bob,1,2025-12-18,posner,2023.2.2,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,
,,bob,1,2025-12-18,posner,2023.2.2,MacIntel,58.82352941,18.092,19.794,-0.379716981,0.016509434,1.0,0.0,0.0,0.7,target,19.795,20.793,0.0,0.0,0.0,2.0,1.0,-0.35,0.0,1.0,left,,,
,,bob,1,2025-12-18,posner,2023.2.2,MacIntel,58.82352941,20.794,22.275,-0.367924528,0.048349057,1.0,0.0,0.0,0.465,target,22.275,23.275,0.0,1.0,1.0,4.0,1.0,-0.35,0.0,1.0,left,,,
,,bob,1,2025-12-18,posner,2023.2.2,MacIntel,58.82352941,23.276,24.809,0.375,-0.036556604,1.0,0.0,0.0,0.533,target,24.81,25.81,0.0,2.0,2.0,5.0,1.0,0.35,180.0,1.0,right,,,
,,bob,1,2025-12-18,posner,2023.2.2,MacIntel,58.82352941,25.81,27.392,0.287735849,-0.010613208,1.0,0.0,0.0,0.566,target,27.392,28.393,0.0,3.0,3.0,9.0,1.0,0.35,0.0,0.0,right,,,
,,bob,1,2025-12-18,posner,2023.2.2,MacIntel,58.82352941,28.393,29.975,0.396226415,0.0625,1.0,0.0,0.0,0.582,target,29.975,30.976,0.0,4.0,4.0,13.0,1.0,0.35,0.0,0.0,right,,,
,,bob,1,2025-12-18,posner,2023.2.2,MacIntel,58.82352941,30.976,32.509,-0.310141509,0.031839623,1.0,0.0,0.0,0.517,target,32.509,33.51,0.0,5.0,5.0,12.0,1.0,-0.35,180.0,0.0,left,,,
,,bob,1,2025-12-18,posner,2023.2.2,MacIntel,58.82352941,33.51,35.026,-0.253537736,-0.028301887,1.0,0.0,0.0,0.499,target,35.026,36.025,0.0,6.0,6.0,6.0,1.0,-0.35,0.0,1.0,left,,,
,,bob,1,2025-12-18,posner,2023.2.2,MacIntel,58.82352941,36.026,37.659,-0.299528302,-0.037735849,1.0,0.0,0.0,0.616,target,37.659,38.66,0.0,7.0,7.0,10.0,1.0,-0.35,180.0,0.0,left,,,
,,bob,1,2025-12-18,posner,2023.2.2,MacIntel,58.82352941,38.66,40.192,0.338443396,-0.025943396,1.0,0.0,0.0,0.517,target,40.192,41.193,0.0,8.0,8.0,11.0,1.0,0.35,0.0,0.0,right,,,
,,bob,1,2025-12-18,posner,2023.2.2,MacIntel,58.82352941,41.193,42.726,0.266509434,-0.023584906,1.0,0.0,0.0,0.516,target,42.726,43.725,0.0,9.0,9.0,7.0,1.0,0.35,180.0,1.0,right,,,
,,bob,1,2025-12-18,posner,2023.2.2,MacIntel,58.82352941,43.726,45.359,0.303066038,0.003537736,1.0,0.0,0.0,0.616,target,45.359,46.359,0.0,10.0,10.0,1.0,1.0,0.35,180.0,1.0,right,,,
,,bob,1,2025-12-18,posner,2023.2.2,MacIntel,58.82352941,46.36,47.909,-0.298349057,-0.014150943,1.0,0.0,0.0,0.532,target,47.909,48.909,0.0,11.0,11.0,0.0,1.0,-0.35,0.0,1.0,left,,,
,,bob,1,2025-12-18,posner,2023.2.2,MacIntel,58.82352941,48.91,50.475,0.391509434,0.025943396,1.0,0.0,0.0,0.549,target,50.475,51.476,0.0,12.0,12.0,3.0,1.0,0.35,180.0,1.0,right,,,
,,bob,1,2025-12-18,posner,2023.2.2,MacIntel,58.82352941,51.476,53.008,-0.39504717,0.029481132,1.0,0.0,0.0,0.516,target,53.008,54.009,0.0,13.0,13.0,8.0,1.0,-0.35,180.0,0.0,left,,,
,,bob,1,2025-12-18,posner,2023.2.2,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,54.016,0.55125,0.552333333
